Sample_num,Task_number,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,Timestamp,Video_timestamp,Angle_sample
0,0,152535,321118,527224,449539,479506,592676,13958,-358323,1636551622.0082877,1636551622.045051,0
1,0,152220,320776,526947,449311,479429,592739,13164,-358740,1636551622.0082924,1636551622.045051,0
2,0,151763,320229,526414,448781,479023,592388,13253,-359093,1636551622.0110593,1636551622.045051,0
3,0,152023,320498,526680,448959,479091,592158,13968,-358669,1636551622.011063,1636551622.045051,0
4,0,152059,320549,526747,449067,479238,592445,13692,-358684,1636551622.0150812,1636551622.045051,0
5,0,152154,320644,526856,449169,479341,592594,13557,-358664,1636551622.0150838,1636551622.045051,0
6,0,152341,320851,527060,449395,479608,593089,13224,-358657,1636551622.018805,1636551622.045051,0
7,0,152183,320682,526878,449219,479369,592419,13867,-358676,1636551622.0188074,1636551622.045051,0
8,0,152128,320611,526764,449088,479241,592160,13906,-358637,1636551622.0232372,1636551622.045051,0
9,0,152246,320716,526863,449221,479464,592561,13820,-358565,1636551622,1636551622.045051,0
10,0,152344,320831,527131,449590,479926,593333,12795,-358596,1636551622,1636551622.045051,0
11,0,152331,320822,526954,449201,479211,592232,13586,-358716,1636551622.0267124,1636551622.045051,0
12,0,152088,320586,526708,448988,479008,591983,14363,-358744,1636551622.0308552,1636551622.045051,0
13,0,152169,320689,526858,449270,479501,592876,13469,-358752,1636551622.0308585,1636551622.045051,0
14,0,152140,320648,526761,449163,479363,592761,13934,-358704,1636551622.0385132,1636551622.045051,0
15,0,152129,320548,526721,449199,479468,592835,14121,-358622,1636551622.0385156,1636551622.045051,0
16,0,152766,321157,527356,449865,480078,593424,14429,-358071,1636551622.0388076,1636551622.045051,0
17,0,153401,321891,527925,450251,480319,593774,14427,-357973,1636551622.038812,1636551622.045051,0
18,0,152578,321141,527288,449647,479738,592878,13474,-358854,1636551622.0513427,1636551622.045051,0
19,0,151406,319899,526101,448541,478800,591570,12767,-359559,1636551622.051348,1636551622.045051,0
20,0,151691,320116,526383,448898,479236,592249,13788,-359022,1636551622.0513666,1636551622.045051,0
21,0,151730,320128,526319,448753,479073,592449,13576,-358982,1636551622.0513673,1636551622.045051,0
22,0,152114,320519,526605,448905,479132,592621,13369,-358786,1636551622.051372,1636551622.045051,0
23,0,152374,320881,526944,449169,479256,592515,13474,-358695,1636551622.0513728,1636551622.045051,0
24,0,152281,320833,526951,449221,479261,592228,13776,-358671,1636551622.0548303,1636551622.045051,0
25,0,152224,320706,526852,449209,479385,592481,13733,-358739,1636551622.0548348,1636551622.045051,0
26,0,152224,320706,526852,449209,479385,592481,13733,-358739,1636551622.0548348,1636551622.203735,1
27,0,152265,320704,526807,449184,479456,592695,13739,-358777,1636551622.058663,1636551622.203735,1
28,0,152318,320776,526897,449243,479494,592693,13794,-358724,1636551622.0586646,1636551622.203735,1
29,0,152276,320761,526949,449317,479574,592728,13786,-358733,1636551622.0698373,1636551622.203735,1
30,0,152202,320597,526761,449143,479478,592772,13746,-358789,1636551622.0698397,1636551622.203735,1
31,0,152272,320663,526778,449167,479464,592793,13551,-358699,1636551622.0698519,1636551622.203735,1
32,0,152213,320798,527054,449509,479803,593184,13790,-358856,1636551622.069852,1636551622.203735,1
33,0,152753,321214,527259,449579,479701,592806,14509,-358374,1636551622.0766475,1636551622.203735,1
34,0,152894,321276,527231,449543,479709,592919,14078,-358427,1636551622.076651,1636551622.203735,1
35,0,152339,320753,526839,449238,479472,592731,13443,-358921,1636551622.0766695,1636551622.203735,1
36,0,152131,320502,526558,448987,479298,592817,13094,-358981,1636551622,1636551622.203735,1
37,0,151965,320359,526509,449021,479381,592880,13798,-358967,1636551622.0787792,1636551622.203735,1
38,0,152078,320495,526691,449164,479356,592486,14041,-358787,1636551622.0787833,1636551622.203735,1
39,0,152281,320748,526894,449264,479338,592663,13857,-358782,1636551622.0826232,1636551622.203735,1
40,0,152316,320771,526934,449298,479398,592788,13889,-358775,1636551622.0826254,1636551622.203735,1
41,0,152375,320809,527009,449385,479490,592875,13946,-358730,1636551622.0866094,1636551622.203735,1
42,0,152441,320882,527034,449379,479403,592789,13859,-358764,1636551622.0866125,1636551622.203735,1
43,0,152444,320865,527013,449411,479441,592827,13854,-358751,1636551622.0906305,1636551622.203735,1
44,0,152366,320767,526934,449394,479449,592787,13651,-358891,1636551622.090633,1636551622.203735,1
45,0,152365,320734,526918,449383,479438,592717,13614,-358947,1636551622.1008155,1636551622.203735,1
46,0,152519,320888,527057,449509,479539,592933,14138,-358638,1636551622.1008253,1636551622.203735,1
47,0,152806,321201,527308,449741,479738,593202,14477,-358301,1636551622,1636551622.203735,1
48,0,152681,321031,527098,449605,479691,593301,13514,-358631,1636551622.103862,1636551622.203735,1
49,0,152262,320582,526659,449225,479231,592794,13479,-359045,1636551622.1038704,1636551622.203735,1
50,0,152372,320669,526729,449259,479142,592431,13896,-358776,1636551622.1038709,1636551622.203735,1
51,0,152365,320785,526942,449566,479591,593235,13693,-358869,1636551622.1085227,1636551622.203735,1
52,0,152242,320615,526741,449354,479304,592776,14556,-358807,1636551622.1085246,1636551622.203735,1
