MAV_CH1,RMS_CH1,WL_CH1,ZC_CH1,SSC_CH1,MAV_CH2,RMS_CH2,WL_CH2,ZC_CH2,SSC_CH2,MAV_CH3,RMS_CH3,WL_CH3,ZC_CH3,SSC_CH3,MAV_CH4,RMS_CH4,WL_CH4,ZC_CH4,SSC_CH4,MAV_CH5,RMS_CH5,WL_CH5,ZC_CH5,SSC_CH5,MAV_CH6,RMS_CH6,WL_CH6,ZC_CH6,SSC_CH6,MAV_CH7,RMS_CH7,WL_CH7,ZC_CH7,SSC_CH7,MAV_CH8,RMS_CH8,WL_CH8,ZC_CH8,SSC_CH8,Label,SessionID
625.415,781.8315259696299,119413,0.615,0.915,639.675,824.808295908813,77441,0.295,0.575,665.375,884.7515329175757,74236,0.245,0.435,691.53,897.2767521785015,73095,0.22,0.41,827.935,1502.2255473130526,85407,0.19,0.415,737.385,918.2814301726895,93740,0.265,0.61,1070.745,1374.9856235612065,193861,0.605,0.89,1060.52,1321.9244796886092,188516,0.555,0.885,0,liad_olier_personal_5_20250306_220445
5035.25,12088.476061108779,472620,0.245,0.365,1273.965,2024.289866842197,98401,0.175,0.385,1165.78,1971.3929364791788,118410,0.2,0.405,1239.37,2095.615606450763,128239,0.2,0.425,1066.395,1747.533354474243,105642,0.185,0.36,1102.505,1826.0539737368115,108746,0.215,0.395,1120.785,1885.612914943043,119232,0.4,0.765,1163.26,1887.8548010903805,123153,0.295,0.785,0,liad_olier_personal_5_20250306_220445
1150.27,2045.555379353001,92944,0.2,0.36,882.2,1885.3223941808997,84322,0.245,0.41,763.26,1218.1196575049596,79572,0.255,0.44,1005.63,1572.748495468999,91133,0.215,0.45,877.8,1561.0638359785291,91956,0.22,0.385,670.87,960.5654584670427,60831,0.22,0.435,1336.745,2279.3845781262976,97523,0.28,0.48,943.055,1870.289120697653,80451,0.32,0.515,0,liad_olier_personal_5_20250306_220445
220.72,270.4496071359691,28663,0.295,0.475,243.93,301.37801844195604,35646,0.37,0.495,333.29,409.3789686830529,47963,0.335,0.495,370.36,453.09323543835876,54106,0.34,0.495,295.255,362.0673487073918,41140,0.295,0.495,483.825,623.7972386921891,48493,0.215,0.45,142.78,186.53291934669332,21833,0.39,0.755,127.525,165.62597924238818,21297,0.375,0.66,0,liad_olier_personal_5_20250306_220445
848.085,1229.8107110445899,61429,0.145,0.225,1222.445,1916.9819600090138,89195,0.22,0.335,1118.59,1894.195148341374,80387,0.215,0.465,902.23,1412.481405187339,83657,0.255,0.485,1030.365,1502.2388142369375,81930,0.19,0.415,584.505,861.4520677321519,64103,0.255,0.435,1708.48,3395.6139547952152,101026,0.185,0.3,840.48,1435.8185505139568,69408,0.195,0.345,0,liad_olier_personal_5_20250306_220445
15137.78,23711.949241679817,1137062,0.12,0.225,11417.71,15514.413611219728,812649,0.13,0.25,7849.955,11133.38930088228,557133,0.12,0.255,8396.09,12189.665018366994,614989,0.15,0.31,7366.395,10526.264824000962,509681,0.1,0.275,24427.9,41983.45971427319,1558874,0.125,0.24,16222.5,24937.41925781415,1179434,0.13,0.205,11433.21,16703.981156299236,906574,0.11,0.225,0,liad_olier_personal_5_20250306_220445
12000.3,17149.330954588288,789934,0.125,0.2,13915.32,18890.56950306157,932812,0.115,0.195,11122.985,14842.222652116494,700098,0.115,0.22,14693.57,20762.670779791315,828657,0.115,0.215,10744.89,15520.167041304678,597699,0.125,0.225,10637.035,15242.156525406765,696255,0.13,0.21,14904.075,22916.14072624359,1140395,0.13,0.23,10259.39,14426.20433828663,736082,0.125,0.225,0,liad_olier_personal_5_20250306_220445
863.35,1133.6420202162585,96151,0.205,0.235,626.19,1043.4888116314423,61349,0.205,0.42,380.68,477.95338684855034,55218,0.305,0.48,540.505,662.4254712795998,72265,0.33,0.47,391.82,495.54291438784594,54694,0.345,0.45,409.385,520.6596633118413,50001,0.285,0.39,1175.55,1467.6576542232185,109056,0.205,0.21,423.97,551.9149390984085,46218,0.215,0.245,0,liad_olier_personal_5_20250306_220445
118.44,155.1167947064405,18191,0.4,0.565,202.105,259.2599757000683,30355,0.33,0.545,285.995,367.138795280477,40092,0.39,0.535,398.57,510.15839697098,58389,0.41,0.555,306.83,391.47844129658023,41975,0.39,0.535,211.365,271.27042780222104,29970,0.39,0.545,178.195,232.11218192934209,22883,0.26,0.47,92.385,120.13236449849808,11869,0.25,0.475,0,liad_olier_personal_5_20250306_220445
93.87,116.50875503583411,15583,0.41,0.545,165.51,204.51647855368526,24298,0.42,0.57,250.86,315.0534399113903,36801,0.395,0.565,353.91,443.2538099103041,52823,0.395,0.565,270.495,339.5368683957605,39685,0.355,0.555,172.55,216.14451184334985,26131,0.44,0.585,90.82,122.88278968187531,11215,0.245,0.47,80.84,107.20102611449202,9798,0.28,0.43,0,liad_olier_personal_5_20250306_220445
