SessionID,N,Timestamp,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,AccX,AccY,AccZ,GyX,GyY,GyZ,VBAT,Label,Action Name,ActionTime
heni_olier_31_1_try1_20250131_182633,1,0.00105381,-79242,-44196,280761,396554,485300,375928,530241,591884,5896,5318,14511,-266,156,38,3322,0,Rest,0.00105381
heni_olier_31_1_try1_20250131_182633,2,0.00105381,-79399,-44402,280557,396336,485094,375843,530289,591799,5896,5318,14511,-266,156,38,3322,0,Rest,0.00105381
heni_olier_31_1_try1_20250131_182633,3,0.00105381,-79459,-44512,280388,396181,484968,375775,530306,591807,5896,5318,14511,-266,156,38,3322,0,Rest,0.00105381
heni_olier_31_1_try1_20250131_182633,4,0.00105381,-79731,-44823,280061,395859,484661,375543,530218,591670,5896,5318,14511,-266,156,38,3322,0,Rest,0.00105381
heni_olier_31_1_try1_20250131_182633,5,0.00105381,-79776,-44875,280038,395839,484657,375548,530574,591702,5896,5318,14511,-266,156,38,3322,0,Rest,0.00105381
heni_olier_31_1_try1_20250131_182633,6,0.00105381,-79392,-44487,280354,396102,484896,375835,530501,591911,5896,5318,14511,-266,156,38,3322,0,Rest,0.00105381
heni_olier_31_1_try1_20250131_182633,7,0.00105381,-79366,-44481,280378,396053,484793,375856,530154,591936,5896,5318,14511,-266,156,38,3322,0,Rest,0.00105381
heni_olier_31_1_try1_20250131_182633,8,0.00105381,-79732,-44864,280084,395782,484601,375688,529882,591705,5896,5318,14511,-266,156,38,3322,0,Rest,0.00105381
heni_olier_31_1_try1_20250131_182633,9,0.00105381,-79619,-44774,280154,395824,484718,375831,530274,591864,5915,5266,14500,-232,104,20,3322,0,Rest,0.00105381
heni_olier_31_1_try1_20250131_182633,10,0.00105381,-79685,-44678,280256,395941,484879,375921,530173,591698,5915,5266,14500,-232,104,20,3322,0,Rest,0.00105381
heni_olier_31_1_try1_20250131_182633,11,0.00105381,-79367,-44277,280681,396374,485318,376288,530508,591879,5915,5266,14500,-232,104,20,3322,0,Rest,0.00105381
heni_olier_31_1_try1_20250131_182633,12,0.00105381,-79517,-44509,280394,396070,484995,376008,530433,591889,5915,5266,14500,-232,104,20,3322,0,Rest,0.00105381
heni_olier_31_1_try1_20250131_182633,13,0.00105381,-79909,-44931,279974,395636,484523,375429,530266,591695,5915,5266,14500,-232,104,20,3322,0,Rest,0.00105381
heni_olier_31_1_try1_20250131_182633,14,0.00105381,-79898,-44979,279932,395535,484398,375174,530505,591729,5915,5266,14500,-232,104,20,3321,0,Rest,0.00105381
heni_olier_31_1_try1_20250131_182633,15,0.00105381,-79877,-44977,279933,395542,484396,375395,530398,591731,5915,5266,14500,-232,104,20,3321,0,Rest,0.00105381
heni_olier_31_1_try1_20250131_182633,16,0.00105381,-79974,-45034,279958,395633,484543,375761,529949,591613,5915,5266,14500,-232,104,20,3321,0,Rest,0.00105381
heni_olier_31_1_try1_20250131_182633,17,0.002052307,-79865,-44904,280087,395739,484636,375794,529846,591687,5915,5266,14500,-232,104,20,3321,0,Rest,0.002052307
heni_olier_31_1_try1_20250131_182633,18,0.002052307,-79732,-44783,280194,395804,484634,375795,529709,591732,5915,5266,14500,-232,104,20,3321,0,Rest,0.002052307
heni_olier_31_1_try1_20250131_182633,19,0.002052307,-79581,-44534,280455,396096,484937,376043,529729,591793,5934,5225,14463,-242,128,3,3321,0,Rest,0.002052307
heni_olier_31_1_try1_20250131_182633,20,0.002052307,-79402,-44348,280640,396253,485081,376258,530496,592001,5934,5225,14463,-242,128,3,3321,0,Rest,0.002052307
heni_olier_31_1_try1_20250131_182633,21,0.002052307,-79552,-44502,280474,396104,484981,376193,530861,591966,5934,5225,14463,-242,128,3,3321,0,Rest,0.002052307
heni_olier_31_1_try1_20250131_182633,22,0.002052307,-79979,-44969,279954,395532,484394,375611,530566,591728,5934,5225,14463,-242,128,3,3321,0,Rest,0.002052307
heni_olier_31_1_try1_20250131_182633,23,0.002052307,-79751,-44631,280334,395897,484755,375884,530545,591709,5934,5225,14463,-242,128,3,3321,0,Rest,0.002052307
heni_olier_31_1_try1_20250131_182633,24,0.002052307,-79776,-44608,280360,395956,484786,375981,530437,591677,5934,5225,14463,-242,128,3,3321,0,Rest,0.002052307
heni_olier_31_1_try1_20250131_182633,25,0.002052307,-80116,-44972,279989,395611,484430,375734,529898,591667,5934,5225,14463,-242,128,3,3321,0,Rest,0.002052307
heni_olier_31_1_try1_20250131_182633,26,0.002052307,-80032,-44905,280069,395704,484564,376103,529513,591660,5934,5225,14463,-242,128,3,3321,0,Rest,0.002052307
heni_olier_31_1_try1_20250131_182633,27,0.002052307,-79811,-44764,280164,395744,484383,375631,529855,591836,5934,5225,14463,-242,128,3,3321,0,Rest,0.002052307
heni_olier_31_1_try1_20250131_182633,28,0.002052307,-79826,-44707,280251,395931,484652,376079,530466,591807,5934,5225,14463,-242,128,3,3321,0,Rest,0.002052307
heni_olier_31_1_try1_20250131_182633,29,0.002052307,-79861,-44660,280346,396054,484824,376193,530286,591778,5930,5239,14450,-168,127,10,3321,0,Rest,0.002052307
