SessionID,N,Timestamp,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,AccX,AccY,AccZ,GyX,GyY,GyZ,VBAT,Label,Action Name,ActionTime
liad_olier_31_!_try1_20250131_162914,1,0,4714334,4731178,4652113,4689464,4656164,4696092,4763648,4791396,15935,-2616,-2581,-645,241,-8,3375,0,Rest,0
liad_olier_31_!_try1_20250131_162914,2,0,4714322,4731138,4652046,4689407,4656138,4696096,4763606,4791338,15935,-2616,-2581,-645,241,-8,3375,0,Rest,0
liad_olier_31_!_try1_20250131_162914,3,0,4714293,4731118,4652056,4689415,4656132,4696119,4763549,4791249,15958,-2689,-2583,-288,167,-209,3375,0,Rest,0
liad_olier_31_!_try1_20250131_162914,4,0,4714335,4731173,4652144,4689506,4656220,4696205,4763576,4791253,15958,-2689,-2583,-288,167,-209,3375,0,Rest,0
liad_olier_31_!_try1_20250131_162914,5,0,4714344,4731218,4652234,4689591,4656279,4696228,4763583,4791242,15958,-2689,-2583,-288,167,-209,3375,0,Rest,0
liad_olier_31_!_try1_20250131_162914,6,0.001039028,4714414,4731315,4652353,4689713,4656389,4696300,4763688,4791330,15958,-2689,-2583,-288,167,-209,3375,0,Rest,0.001039028
liad_olier_31_!_try1_20250131_162914,7,0.001039028,4714405,4731353,4652471,4689818,4656428,4696298,4763656,4791269,15958,-2689,-2583,-288,167,-209,3375,0,Rest,0.001039028
liad_olier_31_!_try1_20250131_162914,8,0.001039028,4714398,4731368,4652501,4689853,4656439,4696281,4763641,4791240,15958,-2689,-2583,-288,167,-209,3375,0,Rest,0.001039028
liad_olier_31_!_try1_20250131_162914,9,0.001039028,4714394,4731348,4652423,4689784,4656407,4696236,4763636,4791223,15958,-2689,-2583,-288,167,-209,3375,0,Rest,0.001039028
liad_olier_31_!_try1_20250131_162914,10,0.001039028,4714317,4731251,4652306,4689674,4656291,4696127,4763512,4791092,15958,-2689,-2583,-288,167,-209,3375,0,Rest,0.001039028
liad_olier_31_!_try1_20250131_162914,11,0.001039028,4714306,4731193,4652185,4689561,4656235,4696106,4763486,4791064,15958,-2689,-2583,-288,167,-209,3375,0,Rest,0.001039028
liad_olier_31_!_try1_20250131_162914,12,0.001039028,4714249,4731123,4652117,4689489,4656163,4696052,4763392,4790945,15958,-2689,-2583,-288,167,-209,3375,0,Rest,0.001039028
liad_olier_31_!_try1_20250131_162914,13,0.001039028,4714269,4731127,4652119,4689494,4656194,4696096,4763401,4790934,15893,-2713,-2578,53,63,-308,3375,0,Rest,0.001039028
liad_olier_31_!_try1_20250131_162914,14,0.001039028,4714314,4731181,4652168,4689544,4656269,4696180,4763475,4790987,15893,-2713,-2578,53,63,-308,3375,0,Rest,0.001039028
liad_olier_31_!_try1_20250131_162914,15,0.001039028,4714382,4731300,4652368,4689729,4656395,4696269,4763526,4791013,15893,-2713,-2578,53,63,-308,3375,0,Rest,0.001039028
liad_olier_31_!_try1_20250131_162914,16,0.001039028,4714466,4731414,4652510,4689871,4656521,4696346,4763640,4791111,15893,-2713,-2578,53,63,-308,3375,0,Rest,0.001039028
liad_olier_31_!_try1_20250131_162914,17,0.001039028,4714434,4731413,4652563,4689923,4656524,4696310,4763606,4791062,15893,-2713,-2578,53,63,-308,3375,0,Rest,0.001039028
