SessionID,N,Timestamp,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,AccX,AccY,AccZ,GyX,GyY,GyZ,VBAT,Label,Action Name,ActionTime
behor_second_try_20250129_164114,1,0.0009109973907470703,-3787941.0,-1728312.0,-1365634.0,-922789.0,-3745044.0,-3353735.0,-129697.0,-1394349.0,15578.0,-2957.0,4049.0,113.0,144.0,198.0,3929.0,0,Rest,0.0009109973907470703
behor_second_try_20250129_164114,2,0.0009109973907470703,-3787950.0,-1728317.0,-1365644.0,-922797.0,-3745077.0,-3353758.0,-129694.0,-1394372.0,15578.0,-2957.0,4049.0,113.0,144.0,198.0,3929.0,0,Rest,0.0009109973907470703
behor_second_try_20250129_164114,3,0.0009109973907470703,-3787846.0,-1728213.0,-1365557.0,-922700.0,-3745010.0,-3353744.0,-129679.0,-1394327.0,15584.0,-2927.0,4048.0,120.0,106.0,220.0,3929.0,0,Rest,0.0009109973907470703
behor_second_try_20250129_164114,4,0.0009109973907470703,-3787731.0,-1728101.0,-1365459.0,-922599.0,-3744906.0,-3353700.0,-129575.0,-1394252.0,15584.0,-2927.0,4048.0,120.0,106.0,220.0,3929.0,0,Rest,0.0009109973907470703
behor_second_try_20250129_164114,5,0.0009109973907470703,-3787772.0,-1728151.0,-1365527.0,-922649.0,-3744892.0,-3353822.0,-129666.0,-1394312.0,15584.0,-2927.0,4048.0,120.0,106.0,220.0,3929.0,0,Rest,0.0009109973907470703
behor_second_try_20250129_164114,6,0.0009109973907470703,-3787802.0,-1728213.0,-1365574.0,-922691.0,-3744784.0,-3353882.0,-129698.0,-1394399.0,15584.0,-2927.0,4048.0,120.0,106.0,220.0,3929.0,0,Rest,0.0009109973907470703
behor_second_try_20250129_164114,7,0.0009109973907470703,-3787802.0,-1728212.0,-1365562.0,-922686.0,-3744582.0,-3353890.0,-129749.0,-1394432.0,15584.0,-2927.0,4048.0,120.0,106.0,220.0,3929.0,0,Rest,0.0009109973907470703
behor_second_try_20250129_164114,8,0.0009109973907470703,-3787862.0,-1728247.0,-1365594.0,-922720.0,-3744643.0,-3353939.0,-129830.0,-1394512.0,15584.0,-2927.0,4048.0,120.0,106.0,220.0,3929.0,0,Rest,0.0009109973907470703
behor_second_try_20250129_164114,9,0.0009109973907470703,-3787793.0,-1728151.0,-1365521.0,-922650.0,-3744675.0,-3353877.0,-129699.0,-1394460.0,15584.0,-2927.0,4048.0,120.0,106.0,220.0,3929.0,0,Rest,0.0009109973907470703
behor_second_try_20250129_164114,10,0.0009109973907470703,-3787829.0,-1728177.0,-1365562.0,-922698.0,-3744837.0,-3353908.0,-129710.0,-1394504.0,15584.0,-2927.0,4048.0,120.0,106.0,220.0,3929.0,0,Rest,0.0009109973907470703
