SessionID,N,Timestamp,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,AccX,AccY,AccZ,GyX,GyY,GyZ,VBAT,Label,Action Name,ActionTime
shira_hazrati_1_2_try1_20250201_121051,1,0.002992868,302179,119209,386601,1101339,-872796,-967929,-128060,-218243,14865,-6239,2737,-1051,1356,883,3657,0,Rest,0.002992868
shira_hazrati_1_2_try1_20250201_121051,2,0.002992868,302003,118949,386376,1101153,-872842,-967997,-128368,-218463,14865,-6239,2737,-1051,1356,883,3657,0,Rest,0.002992868
shira_hazrati_1_2_try1_20250201_121051,3,0.002992868,301806,118999,386467,1101213,-872677,-968042,-128338,-218506,14777,-6217,2813,-659,1010,986,3657,0,Rest,0.002992868
shira_hazrati_1_2_try1_20250201_121051,4,0.002992868,301359,119377,386945,1101421,-872546,-969190,-127774,-218209,14777,-6217,2813,-659,1010,986,3657,0,Rest,0.002992868
shira_hazrati_1_2_try1_20250201_121051,5,0.002992868,300744,120240,387964,1102046,-872148,-970792,-126637,-217531,14777,-6217,2813,-659,1010,986,3657,0,Rest,0.002992868
shira_hazrati_1_2_try1_20250201_121051,6,0.002992868,300058,119973,387685,1101601,-872743,-972130,-126580,-217537,14777,-6217,2813,-659,1010,986,3657,0,Rest,0.002992868
shira_hazrati_1_2_try1_20250201_121051,7,0.002992868,299977,119898,387622,1101541,-872904,-972347,-126514,-217543,14777,-6217,2813,-659,1010,986,3657,0,Rest,0.002992868
shira_hazrati_1_2_try1_20250201_121051,8,0.002992868,300094,119898,387610,1101536,-872922,-972197,-126544,-217552,14777,-6217,2813,-659,1010,986,3657,0,Rest,0.002992868
shira_hazrati_1_2_try1_20250201_121051,9,0.002992868,300671,119789,387371,1101476,-872910,-971099,-126990,-217749,14777,-6217,2813,-659,1010,986,3657,0,Rest,0.002992868
shira_hazrati_1_2_try1_20250201_121051,10,0.002992868,301865,119869,387303,1101704,-872509,-968889,-127545,-218014,14777,-6217,2813,-659,1010,986,3657,0,Rest,0.002992868
shira_hazrati_1_2_try1_20250201_121051,11,0.002992868,302276,119558,386959,1101547,-872448,-967883,-128032,-218382,14777,-6217,2813,-659,1010,986,3657,0,Rest,0.002992868
shira_hazrati_1_2_try1_20250201_121051,12,0.002992868,302531,119911,387324,1101936,-871931,-967406,-127857,-218269,14777,-6217,2813,-659,1010,986,3657,0,Rest,0.002992868
shira_hazrati_1_2_try1_20250201_121051,13,0.002992868,302425,119950,387423,1102001,-871840,-967519,-127763,-218176,14849,-6087,2912,-479,652,1161,3657,0,Rest,0.002992868
shira_hazrati_1_2_try1_20250201_121051,14,0.002992868,301622,119748,387326,1101764,-872097,-968871,-127589,-218080,14849,-6087,2912,-479,652,1161,3657,0,Rest,0.002992868
shira_hazrati_1_2_try1_20250201_121051,15,0.002992868,300981,120621,388368,1102371,-871737,-970581,-126429,-217394,14849,-6087,2912,-479,652,1161,3657,0,Rest,0.002992868
shira_hazrati_1_2_try1_20250201_121051,16,0.002992868,300508,120688,388466,1102328,-871979,-971612,-126024,-217196,14849,-6087,2912,-479,652,1161,3657,0,Rest,0.002992868
shira_hazrati_1_2_try1_20250201_121051,17,0.002992868,300493,120645,388384,1102248,-872139,-971760,-125955,-217168,14849,-6087,2912,-479,652,1161,3657,0,Rest,0.002992868
shira_hazrati_1_2_try1_20250201_121051,18,0.002992868,300520,120457,388138,1102079,-872339,-971684,-126054,-217238,14849,-6087,2912,-479,652,1161,3657,0,Rest,0.002992868
shira_hazrati_1_2_try1_20250201_121051,19,0.002992868,301029,120186,387818,1101924,-872453,-970657,-126530,-217491,14849,-6087,2912,-479,652,1161,3657,0,Rest,0.002992868
shira_hazrati_1_2_try1_20250201_121051,20,0.002992868,301859,119556,387059,1101509,-872675,-968863,-127508,-217993,14849,-6087,2912,-479,652,1161,3657,0,Rest,0.002992868
shira_hazrati_1_2_try1_20250201_121051,21,0.002992868,302013,118801,386229,1100909,-873054,-968177,-128341,-218509,14849,-6087,2912,-479,652,1161,3657,0,Rest,0.002992868
shira_hazrati_1_2_try1_20250201_121051,22,0.002992868,301964,118763,386208,1100912,-872938,-967983,-128513,-218689,14849,-6087,2912,-479,652,1161,3657,0,Rest,0.002992868
shira_hazrati_1_2_try1_20250201_121051,23,0.002992868,301856,118888,386343,1101026,-872745,-968042,-128414,-218711,14969,-5882,3022,-455,351,1315,3657,0,Rest,0.002992868
shira_hazrati_1_2_try1_20250201_121051,24,0.002992868,301469,119445,387011,1101416,-872456,-969079,-127834,-218419,14969,-5882,3022,-455,351,1315,3657,0,Rest,0.002992868
shira_hazrati_1_2_try1_20250201_121051,25,0.002992868,300852,120379,388078,1102058,-872031,-970746,-126617,-217714,14969,-5882,3022,-455,351,1315,3657,0,Rest,0.002992868
shira_hazrati_1_2_try1_20250201_121051,26,0.002992868,300085,120019,387768,1101655,-872593,-972049,-126474,-217710,14969,-5882,3022,-455,351,1315,3657,0,Rest,0.002992868
shira_hazrati_1_2_try1_20250201_121051,27,0.002992868,300254,120428,388104,1101942,-872453,-972003,-126203,-217571,14969,-5882,3022,-455,351,1315,3657,0,Rest,0.002992868
shira_hazrati_1_2_try1_20250201_121051,28,0.002992868,300407,120454,388129,1101984,-872460,-971797,-126182,-217581,14969,-5882,3022,-455,351,1315,3657,0,Rest,0.002992868
shira_hazrati_1_2_try1_20250201_121051,29,0.002992868,300646,119839,387431,1101519,-872896,-970969,-126904,-218059,14969,-5882,3022,-455,351,1315,3657,0,Rest,0.002992868
shira_hazrati_1_2_try1_20250201_121051,30,0.002992868,301554,119533,386959,1101348,-872925,-969040,-127816,-218589,14969,-5882,3022,-455,351,1315,3657,0,Rest,0.002992868
shira_hazrati_1_2_try1_20250201_121051,31,0.002992868,302004,119178,386579,1101186,-872831,-968015,-128302,-218826,14969,-5882,3022,-455,351,1315,3657,0,Rest,0.002992868
shira_hazrati_1_2_try1_20250201_121051,32,0.002992868,302061,119091,386503,1101194,-872682,-967844,-128406,-218867,14969,-5882,3022,-455,351,1315,3657,0,Rest,0.002992868
shira_hazrati_1_2_try1_20250201_121051,33,0.002992868,302163,119468,386946,1101546,-872317,-967760,-128090,-218692,14949,-5733,3077,-558,87,1405,3657,0,Rest,0.002992868
shira_hazrati_1_2_try1_20250201_121051,34,0.002992868,301519,119492,387066,1101510,-872424,-968996,-127696,-218542,14949,-5733,3077,-558,87,1405,3657,0,Rest,0.002992868
shira_hazrati_1_2_try1_20250201_121051,35,0.002992868,300870,120450,388154,1102181,-872001,-970727,-126515,-217829,14949,-5733,3077,-558,87,1405,3657,0,Rest,0.002992868
shira_hazrati_1_2_try1_20250201_121051,36,0.002992868,300324,120513,388282,1102165,-872221,-971796,-126116,-217631,14949,-5733,3077,-558,87,1405,3657,0,Rest,0.002992868
shira_hazrati_1_2_try1_20250201_121051,37,0.002992868,300063,120134,387857,1101766,-872743,-972218,-126342,-217819,14949,-5733,3077,-558,87,1405,3657,0,Rest,0.002992868
