N,EMG_0,EMG_1,EMG_2,EMG_3,EMG_4,EMG_5,EMG_6,EMG_7,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,VBAT
1,-332295.0,388864.0,391781.0,190841.0,-74769.0,296843.0,101567.0,344439.0,3699.0,-7315.0,14216.0,-318.0,-132.0,126.0,4007.0
2,-331771.0,386660.0,389568.0,191008.0,-74938.0,297214.0,101281.0,345119.0,3699.0,-7315.0,14216.0,-318.0,-132.0,126.0,4007.0
3,-331525.0,383908.0,386804.0,191429.0,-74724.0,297802.0,101274.0,345942.0,3699.0,-7315.0,14216.0,-318.0,-132.0,126.0,4007.0
4,-331232.0,388489.0,391414.0,191576.0,-73982.0,298105.0,101193.0,346138.0,3699.0,-7315.0,14216.0,-318.0,-132.0,126.0,4007.0
5,-331061.0,389399.0,392320.0,190890.0,-73974.0,297471.0,101950.0,346576.0,3808.0,-7524.0,14228.0,3.0,-40.0,139.0,4007.0
6,-331599.0,388017.0,390935.0,190004.0,-75138.0,296958.0,104134.0,346101.0,3808.0,-7524.0,14228.0,3.0,-40.0,139.0,4007.0
7,-332277.0,386755.0,389660.0,189757.0,-75247.0,297024.0,103687.0,345621.0,3808.0,-7524.0,14228.0,3.0,-40.0,139.0,4007.0
8,-332842.0,381911.0,384789.0,189850.0,-75457.0,297283.0,103073.0,345550.0,3808.0,-7524.0,14228.0,3.0,-40.0,139.0,4007.0
9,-332536.0,384914.0,387797.0,190159.0,-75793.0,297121.0,102217.0,346006.0,3808.0,-7524.0,14228.0,3.0,-40.0,139.0,4007.0
10,-332041.0,388205.0,391113.0,191038.0,-74524.0,297904.0,102279.0,344868.0,3808.0,-7524.0,14228.0,3.0,-40.0,139.0,4007.0
11,-331677.0,386349.0,389273.0,192226.0,-73520.0,299180.0,103657.0,344755.0,3808.0,-7524.0,14228.0,3.0,-40.0,139.0,4007.0
12,-331561.0,385546.0,388459.0,192312.0,-73294.0,299004.0,104743.0,345998.0,3808.0,-7524.0,14228.0,3.0,-40.0,139.0,4007.0
13,-331356.0,383588.0,386478.0,192151.0,-73631.0,298799.0,103106.0,346536.0,3808.0,-7524.0,14228.0,3.0,-40.0,139.0,4007.0
14,-331329.0,389721.0,392628.0,191279.0,-73907.0,297728.0,102388.0,346293.0,3808.0,-7524.0,14228.0,3.0,-40.0,139.0,4007.0
15,-331682.0,386376.0,389287.0,190574.0,-75050.0,297588.0,101749.0,346631.0,3833.0,-7581.0,14301.0,131.0,-94.0,400.0,4007.0
16,-331924.0,383799.0,386694.0,191048.0,-74652.0,297685.0,102527.0,346521.0,3833.0,-7581.0,14301.0,131.0,-94.0,400.0,4007.0
17,-331537.0,385718.0,388629.0,192004.0,-73604.0,298034.0,103790.0,345441.0,3833.0,-7581.0,14301.0,131.0,-94.0,400.0,4007.0
18,-331623.0,381944.0,384843.0,190784.0,-75091.0,297448.0,103417.0,345997.0,3833.0,-7581.0,14301.0,131.0,-94.0,400.0,4007.0
19,-331782.0,380928.0,383812.0,190516.0,-75787.0,297126.0,101928.0,347341.0,3833.0,-7581.0,14301.0,131.0,-94.0,400.0,4007.0
20,-331266.0,383729.0,386625.0,192393.0,-74264.0,298784.0,99358.0,346259.0,3833.0,-7581.0,14301.0,131.0,-94.0,400.0,4007.0
21,-331118.0,386496.0,389414.0,192631.0,-73835.0,299097.0,101716.0,346176.0,3833.0,-7581.0,14301.0,131.0,-94.0,400.0,4007.0
22,-331091.0,389581.0,392497.0,191963.0,-74077.0,298459.0,103903.0,346769.0,3833.0,-7581.0,14301.0,131.0,-94.0,400.0,4007.0
23,-330734.0,389327.0,392242.0,191863.0,-73573.0,298431.0,103870.0,346821.0,3833.0,-7581.0,14301.0,131.0,-94.0,400.0,4007.0
24,-330689.0,384061.0,386958.0,191736.0,-73649.0,298973.0,104424.0,347089.0,3833.0,-7581.0,14301.0,131.0,-94.0,400.0,4007.0
25,-330749.0,386186.0,389083.0,192211.0,-73217.0,299473.0,104526.0,347319.0,3801.0,-7411.0,14315.0,-204.0,-172.0,256.0,4007.0
26,-330817.0,388424.0,391341.0,191986.0,-73267.0,299146.0,103709.0,347582.0,3801.0,-7411.0,14315.0,-204.0,-172.0,256.0,4007.0
27,-330747.0,389176.0,392098.0,191960.0,-72710.0,299336.0,103666.0,347435.0,3801.0,-7411.0,14315.0,-204.0,-172.0,256.0,4007.0
28,-330812.0,384436.0,387339.0,192899.0,-72594.0,299961.0,103658.0,346942.0,3801.0,-7411.0,14315.0,-204.0,-172.0,256.0,4007.0
29,-330986.0,377512.0,380395.0,193581.0,-72894.0,300157.0,103823.0,347029.0,3801.0,-7411.0,14315.0,-204.0,-172.0,256.0,4007.0
30,-330732.0,382181.0,385078.0,193981.0,-72129.0,300459.0,101891.0,347233.0,3801.0,-7411.0,14315.0,-204.0,-172.0,256.0,4007.0
31,-330803.0,378248.0,381118.0,193556.0,-72752.0,300141.0,101131.0,347133.0,3801.0,-7411.0,14315.0,-204.0,-172.0,256.0,4007.0
32,-330744.0,382808.0,385693.0,193140.0,-73289.0,299546.0,103296.0,347804.0,3801.0,-7411.0,14315.0,-204.0,-172.0,256.0,4007.0
33,-330960.0,386900.0,389808.0,192977.0,-72953.0,299619.0,104582.0,347419.0,3801.0,-7411.0,14315.0,-204.0,-172.0,256.0,4007.0
34,-330999.0,387495.0,390398.0,193517.0,-71416.0,300287.0,104808.0,346871.0,3801.0,-7411.0,14315.0,-204.0,-172.0,256.0,4007.0
35,-330831.0,380978.0,383859.0,193366.0,-72426.0,300449.0,103664.0,347551.0,3862.0,-7348.0,14289.0,-451.0,-122.0,170.0,4007.0
36,-330061.0,387264.0,390171.0,193690.0,-72220.0,300308.0,102753.0,348018.0,3862.0,-7348.0,14289.0,-451.0,-122.0,170.0,4007.0
37,-329796.0,389225.0,392146.0,193711.0,-71597.0,300111.0,104289.0,347488.0,3862.0,-7348.0,14289.0,-451.0,-122.0,170.0,4007.0
38,-330292.0,386714.0,389626.0,192607.0,-72374.0,299711.0,103706.0,347561.0,3862.0,-7348.0,14289.0,-451.0,-122.0,170.0,4007.0
39,-330211.0,383113.0,386011.0,193292.0,-71808.0,300546.0,102093.0,347564.0,3862.0,-7348.0,14289.0,-451.0,-122.0,170.0,4007.0
40,-330484.0,378393.0,381278.0,193054.0,-72452.0,300821.0,105171.0,348126.0,3862.0,-7348.0,14289.0,-451.0,-122.0,170.0,4007.0
41,-330332.0,384798.0,387693.0,193178.0,-72160.0,300803.0,105621.0,347868.0,3862.0,-7348.0,14289.0,-451.0,-122.0,170.0,4007.0
42,-330257.0,384636.0,387534.0,193546.0,-72012.0,301131.0,103298.0,347576.0,3862.0,-7348.0,14289.0,-451.0,-122.0,170.0,4007.0
43,-330327.0,384746.0,387663.0,194113.0,-71341.0,302174.0,103928.0,348183.0,3862.0,-7348.0,14289.0,-451.0,-122.0,170.0,4007.0
44,-330146.0,384675.0,387590.0,194974.0,-70862.0,301083.0,104521.0,348504.0,3862.0,-7348.0,14289.0,-451.0,-122.0,170.0,4007.0
45,-330009.0,382356.0,385269.0,195484.0,-70709.0,301861.0,105417.0,348304.0,3831.0,-7391.0,14262.0,-547.0,-279.0,346.0,4007.0
46,-329816.0,387304.0,390217.0,194758.0,-70265.0,302103.0,106086.0,348811.0,3831.0,-7391.0,14262.0,-547.0,-279.0,346.0,4007.0
47,-330215.0,383450.0,386350.0,194096.0,-71424.0,301119.0,103419.0,348243.0,3831.0,-7391.0,14262.0,-547.0,-279.0,346.0,4007.0
48,-330447.0,378239.0,381123.0,195229.0,-70753.0,302250.0,100756.0,345575.0,3831.0,-7391.0,14262.0,-547.0,-279.0,346.0,4007.0
49,-330378.0,376369.0,379248.0,195650.0,-70696.0,302681.0,105036.0,346216.0,3831.0,-7391.0,14262.0,-547.0,-279.0,346.0,4007.0
