MAV_CH1,RMS_CH1,WL_CH1,ZC_CH1,SSC_CH1,MAV_CH2,RMS_CH2,WL_CH2,ZC_CH2,SSC_CH2,MAV_CH3,RMS_CH3,WL_CH3,ZC_CH3,SSC_CH3,MAV_CH4,RMS_CH4,WL_CH4,ZC_CH4,SSC_CH4,MAV_CH5,RMS_CH5,WL_CH5,ZC_CH5,SSC_CH5,MAV_CH6,RMS_CH6,WL_CH6,ZC_CH6,SSC_CH6,MAV_CH7,RMS_CH7,WL_CH7,ZC_CH7,SSC_CH7,MAV_CH8,RMS_CH8,WL_CH8,ZC_CH8,SSC_CH8,Label,SessionID
130.265,163.19502137013862,21615,0.42,0.61,155.895,195.1145176556578,25337,0.42,0.635,176.545,221.55869425504383,29174,0.415,0.63,287.725,349.5063304147723,49449,0.555,0.845,294.57,366.0789122579994,54442,0.495,0.835,237.045,293.3153337280545,44302,0.525,0.815,325.395,387.47449593489375,51912,0.595,0.845,402.945,474.4634285168879,69600,0.685,0.875,0,heni_olier_31_1_try2_20250131_182803
104.36,129.90011547338977,17607,0.445,0.59,113.99,140.4126774903178,18707,0.435,0.59,122.14,152.04315176948944,19658,0.395,0.56,144.455,181.94973206905252,24339,0.45,0.645,169.35,210.58608690984312,27725,0.5,0.625,140.395,174.38192280164822,22975,0.47,0.615,166.295,209.356884290916,28087,0.45,0.65,137.145,166.30882417959668,21661,0.67,0.875,0,heni_olier_31_1_try2_20250131_182803
119.885,153.33360688381396,19743,0.37,0.525,135.02,174.2041044292585,21633,0.39,0.525,140.595,180.54344352537424,22780,0.39,0.495,156.815,200.2732758008417,24679,0.42,0.535,197.125,275.48256750654843,33440,0.41,0.515,148.345,200.00871231023913,25903,0.4,0.555,231.59,303.66623124740096,37007,0.35,0.485,108.575,132.48118734371306,17536,0.43,0.69,0,heni_olier_31_1_try2_20250131_182803
113.715,140.0637533411125,18644,0.485,0.585,133.305,167.66462059719098,22584,0.4,0.565,145.715,181.6973445045359,23783,0.365,0.555,161.1,204.12043013868063,26655,0.34,0.505,187.355,235.74143674797608,28055,0.365,0.505,160.72,204.1352982705343,23917,0.36,0.545,241.545,307.124998982499,32375,0.315,0.49,89.345,108.55747325725669,13613,0.45,0.615,0,heni_olier_31_1_try2_20250131_182803
123.445,152.5928078252707,19857,0.4,0.565,146.305,184.8241190970486,23479,0.365,0.54,161.795,204.32661353822706,24809,0.335,0.51,172.74,220.77701420211298,27200,0.315,0.5,196.65,255.878525867256,30176,0.37,0.53,167.395,219.3694030625055,25565,0.365,0.555,175.215,232.33535030210103,27074,0.31,0.535,82.34,104.30747815952603,13923,0.44,0.565,0,heni_olier_31_1_try2_20250131_182803
111.075,141.19452893083357,19517,0.45,0.55,122.765,155.71661761032442,21177,0.45,0.53,129.125,165.1553662464529,22632,0.425,0.54,138.54,175.92077762447505,23888,0.38,0.53,148.01,194.7019260305352,25049,0.38,0.51,131.32,170.64682827407017,23355,0.4,0.53,164.63,217.97788878691344,27876,0.375,0.5,90.635,112.57528592013435,15401,0.45,0.55,0,heni_olier_31_1_try2_20250131_182803
109.375,134.1825808367092,18458,0.42,0.545,122.765,150.48087918403454,19878,0.37,0.525,130.37,160.94048589463125,21292,0.38,0.515,138.755,171.88660506275642,21990,0.385,0.515,165.625,210.55553899149746,27517,0.385,0.535,148.39,185.46633117630813,22953,0.34,0.535,144.795,185.65878648747005,23938,0.335,0.535,85.785,108.32813577275296,14942,0.425,0.505,0,heni_olier_31_1_try2_20250131_182803
115.52,152.98588170154787,21056,0.41,0.505,127.425,164.1433672129337,22540,0.375,0.505,135.66,173.79283644615506,23782,0.385,0.5,147.835,187.54238187673738,23847,0.36,0.53,156.385,208.45499514283654,29211,0.385,0.54,139.17,179.07590569364712,23982,0.375,0.545,169.035,217.9643434142383,25589,0.37,0.485,95.57,126.78320077991405,16091,0.345,0.49,0,heni_olier_31_1_try2_20250131_182803
125.38,167.36319786619757,18703,0.465,0.535,136.135,183.41299027059125,20296,0.405,0.535,146.49,197.5240744820742,22789,0.39,0.53,154.825,209.8795964356707,24329,0.38,0.54,174.82,235.92988365190197,27194,0.33,0.54,159.325,214.16438779591718,24155,0.35,0.5,181.56,253.50090729620672,27667,0.335,0.495,99.31,134.5376898865147,15420,0.43,0.535,0,heni_olier_31_1_try2_20250131_182803
131.575,191.73389110952712,21678,0.425,0.535,136.295,197.59044764360448,21474,0.44,0.52,138.205,199.6108589230556,22630,0.405,0.55,142.935,205.62065800886836,23038,0.435,0.57,192.89,270.78260653151267,29191,0.315,0.52,157.85,228.04604798154253,26088,0.38,0.57,194.105,256.5270453577946,28787,0.41,0.53,108.275,156.05974817357614,17547,0.435,0.55,0,heni_olier_31_1_try2_20250131_182803
