MAV_CH1,RMS_CH1,WL_CH1,ZC_CH1,SSC_CH1,MAV_CH2,RMS_CH2,WL_CH2,ZC_CH2,SSC_CH2,MAV_CH3,RMS_CH3,WL_CH3,ZC_CH3,SSC_CH3,MAV_CH4,RMS_CH4,WL_CH4,ZC_CH4,SSC_CH4,MAV_CH5,RMS_CH5,WL_CH5,ZC_CH5,SSC_CH5,MAV_CH6,RMS_CH6,WL_CH6,ZC_CH6,SSC_CH6,MAV_CH7,RMS_CH7,WL_CH7,ZC_CH7,SSC_CH7,MAV_CH8,RMS_CH8,WL_CH8,ZC_CH8,SSC_CH8,Label,SessionID
230.28,294.880280792053,26138,0.2,0.345,359.93,449.3772579915455,61079,0.43,0.73,596.295,709.5403899708599,100231,0.655,0.86,321.395,412.8251627505281,57683,0.39,0.72,287.865,374.24324309197624,47351,0.345,0.53,305.26,387.82997563365313,49258,0.35,0.58,358.375,449.2284218524024,49540,0.35,0.64,3509.835,4003.434185171526,529291,0.735,0.88,0,Ilay_Savion_12
177.37,233.98296946572842,25101,0.26,0.445,283.145,358.0004818432512,42324,0.355,0.505,317.265,405.0492007151724,54994,0.405,0.685,296.83,380.70241659332817,44456,0.3,0.48,290.765,371.6899581640591,43951,0.32,0.47,290.395,367.94205386174605,45221,0.34,0.47,309.585,390.497906524478,44414,0.32,0.47,956.235,1111.3911440172626,103966,0.89,0.955,0,Ilay_Savion_12
179.415,235.56603108258204,24518,0.285,0.375,244.41,311.27576198605635,37020,0.33,0.53,254.215,321.3039293254908,39363,0.42,0.57,246.56,312.12998894691293,37234,0.32,0.465,244.775,309.3039686134014,37060,0.3,0.48,242.965,306.7582517227532,38288,0.31,0.49,271.55,350.4378689582506,38379,0.32,0.445,964.16,1945.7648110704438,104970,0.46,0.785,0,Ilay_Savion_12
173.49,229.37536920951212,25083,0.295,0.415,311.185,377.31528593472063,44143,0.315,0.495,303.16,366.49927694335224,44584,0.295,0.505,304.715,365.8997881934342,42954,0.295,0.505,304.95,366.9863893933943,42142,0.285,0.475,304.135,368.13240145360743,42589,0.295,0.485,365.075,456.5314939848071,51031,0.285,0.435,223.85,271.7457819359852,33798,0.845,0.955,0,Ilay_Savion_12
171.92,222.4994831454671,23827,0.275,0.415,264.665,324.43679661838604,38237,0.295,0.46,251.265,310.76580410334725,38149,0.28,0.47,253.9,313.2923075978726,37418,0.3,0.49,251.505,308.81271832617256,35757,0.31,0.49,251.42,307.1868486768273,34501,0.29,0.435,318.795,392.96660799615023,42490,0.295,0.415,146.345,193.70755018842192,22551,0.3,0.65,0,Ilay_Savion_12
154.805,209.99398800918087,21469,0.315,0.425,254.71,335.6932230474723,36725,0.315,0.45,243.06,332.79528241848624,36181,0.325,0.47,243.115,338.3256788953508,37113,0.335,0.49,243.29,339.9399947049479,37722,0.375,0.49,247.49,339.48471246876494,37962,0.37,0.48,318.41,415.7659437712521,43065,0.26,0.4,121.795,151.0712580208426,14722,0.21,0.545,0,Ilay_Savion_12
146.625,192.6657338501063,20392,0.3,0.41,238.22,302.1185694392187,37535,0.345,0.46,244.815,310.6415055976905,39673,0.335,0.485,252.365,318.94475226910384,39354,0.335,0.485,249.185,313.01061483598284,38021,0.335,0.475,245.505,308.6177976073318,37755,0.355,0.485,303.87,385.9777195642256,39233,0.29,0.42,493.665,1047.9453397005018,45208,0.225,0.47,0,Ilay_Savion_12
171.725,210.81670948954687,21136,0.21,0.425,199.765,249.53648029897352,28200,0.34,0.485,213.675,267.7468300465946,30861,0.375,0.455,222.72,276.9266148278276,31309,0.38,0.465,226.705,282.2699151521465,31077,0.36,0.49,225.225,281.71910655828793,31215,0.355,0.49,246.275,321.08417120748885,36007,0.31,0.395,1596.505,2493.4345660153185,128742,0.19,0.3,0,Ilay_Savion_12
175.945,230.90126677868182,23969,0.29,0.425,238.095,304.0556281340636,36546,0.315,0.495,243.475,312.1785146354566,37432,0.32,0.465,249.01,320.6946834607646,37585,0.335,0.475,247.23,318.1885133061846,37769,0.305,0.485,247.99,315.132527676849,36275,0.325,0.495,273.01,354.54841700394036,38655,0.3,0.425,1320.41,2193.0310941708053,95225,0.18,0.265,0,Ilay_Savion_12
199.47,251.90396979801648,27220,0.245,0.395,263.63,347.81762462532,38258,0.3,0.485,252.355,336.1348762029909,38590,0.35,0.465,255.665,337.9058670695139,38637,0.35,0.495,256.65,338.1393351859556,38907,0.34,0.515,267.54,345.5799039296122,38796,0.35,0.515,327.67,426.70132411324903,43792,0.29,0.44,1199.82,2064.1540761290084,94010,0.16,0.285,0,Ilay_Savion_12
