MAV_CH1,RMS_CH1,WL_CH1,ZC_CH1,SSC_CH1,MAV_CH2,RMS_CH2,WL_CH2,ZC_CH2,SSC_CH2,MAV_CH3,RMS_CH3,WL_CH3,ZC_CH3,SSC_CH3,MAV_CH4,RMS_CH4,WL_CH4,ZC_CH4,SSC_CH4,MAV_CH5,RMS_CH5,WL_CH5,ZC_CH5,SSC_CH5,MAV_CH6,RMS_CH6,WL_CH6,ZC_CH6,SSC_CH6,MAV_CH7,RMS_CH7,WL_CH7,ZC_CH7,SSC_CH7,MAV_CH8,RMS_CH8,WL_CH8,ZC_CH8,SSC_CH8,Label,SessionID
625.415,781.8315259696299,597.065,0.615,0.915,639.675,824.808295908813,387.205,0.295,0.575,665.375,884.7515329175757,371.18,0.245,0.435,691.53,897.2767521785015,365.475,0.22,0.41,827.935,1502.2255473130526,427.035,0.19,0.415,737.385,918.2814301726895,468.7,0.265,0.61,1070.745,1374.9856235612065,969.305,0.605,0.89,1060.52,1321.9244796886092,942.58,0.555,0.885,0,liad_olier_personal_5_20250306_220445
5035.25,12088.476061108779,2363.1,0.245,0.365,1273.965,2024.289866842197,492.005,0.175,0.385,1165.78,1971.3929364791788,592.05,0.2,0.405,1239.37,2095.615606450763,641.195,0.2,0.425,1066.395,1747.533354474243,528.21,0.185,0.36,1102.505,1826.0539737368115,543.73,0.215,0.395,1120.785,1885.612914943043,596.16,0.4,0.765,1163.26,1887.8548010903805,615.765,0.295,0.785,0,liad_olier_personal_5_20250306_220445
1150.27,2045.555379353001,464.72,0.2,0.36,882.2,1885.3223941808997,421.61,0.245,0.41,763.26,1218.1196575049596,397.86,0.255,0.44,1005.63,1572.748495468999,455.665,0.215,0.45,877.8,1561.0638359785291,459.78,0.22,0.385,670.87,960.5654584670427,304.155,0.22,0.435,1336.745,2279.3845781262976,487.615,0.28,0.48,943.055,1870.289120697653,402.255,0.32,0.515,0,liad_olier_personal_5_20250306_220445
220.72,270.4496071359691,143.315,0.295,0.475,243.93,301.37801844195604,178.23,0.37,0.495,333.29,409.3789686830529,239.815,0.335,0.495,370.36,453.09323543835876,270.53,0.34,0.495,295.255,362.0673487073918,205.7,0.295,0.495,483.825,623.7972386921891,242.465,0.215,0.45,142.78,186.53291934669332,109.165,0.39,0.755,127.525,165.62597924238818,106.485,0.375,0.66,0,liad_olier_personal_5_20250306_220445
848.085,1229.8107110445899,307.145,0.145,0.225,1222.445,1916.9819600090138,445.975,0.22,0.335,1118.59,1894.195148341374,401.935,0.215,0.465,902.23,1412.481405187339,418.285,0.255,0.485,1030.365,1502.2388142369375,409.65,0.19,0.415,584.505,861.4520677321519,320.515,0.255,0.435,1708.48,3395.6139547952152,505.13,0.185,0.3,840.48,1435.8185505139568,347.04,0.195,0.345,0,liad_olier_personal_5_20250306_220445
15137.78,23711.949241679817,5685.31,0.12,0.225,11417.71,15514.413611219728,4063.245,0.13,0.25,7849.955,11133.38930088228,2785.665,0.12,0.255,8396.09,12189.665018366994,3074.945,0.15,0.31,7366.395,10526.264824000962,2548.405,0.1,0.275,24427.9,41983.45971427319,7794.37,0.125,0.24,16222.5,24937.41925781415,5897.17,0.13,0.205,11433.21,16703.981156299236,4532.87,0.11,0.225,0,liad_olier_personal_5_20250306_220445
12000.3,17149.330954588288,3949.67,0.125,0.2,13915.32,18890.56950306157,4664.06,0.115,0.195,11122.985,14842.222652116494,3500.49,0.115,0.22,14693.57,20762.670779791315,4143.285,0.115,0.215,10744.89,15520.167041304678,2988.495,0.125,0.225,10637.035,15242.156525406765,3481.275,0.13,0.21,14904.075,22916.14072624359,5701.975,0.13,0.23,10259.39,14426.20433828663,3680.41,0.125,0.225,0,liad_olier_personal_5_20250306_220445
863.35,1133.6420202162585,480.755,0.205,0.235,626.19,1043.4888116314423,306.745,0.205,0.42,380.68,477.95338684855034,276.09,0.305,0.48,540.505,662.4254712795998,361.325,0.33,0.47,391.82,495.54291438784594,273.47,0.345,0.45,409.385,520.6596633118413,250.005,0.285,0.39,1175.55,1467.6576542232185,545.28,0.205,0.21,423.97,551.9149390984085,231.09,0.215,0.245,0,liad_olier_personal_5_20250306_220445
118.44,155.1167947064405,90.955,0.4,0.565,202.105,259.2599757000683,151.775,0.33,0.545,285.995,367.138795280477,200.46,0.39,0.535,398.57,510.15839697098,291.945,0.41,0.555,306.83,391.47844129658023,209.875,0.39,0.535,211.365,271.27042780222104,149.85,0.39,0.545,178.195,232.11218192934209,114.415,0.26,0.47,92.385,120.13236449849808,59.345,0.25,0.475,0,liad_olier_personal_5_20250306_220445
93.87,116.50875503583411,77.915,0.41,0.545,165.51,204.51647855368526,121.49,0.42,0.57,250.86,315.0534399113903,184.005,0.395,0.565,353.91,443.2538099103041,264.115,0.395,0.565,270.495,339.5368683957605,198.425,0.355,0.555,172.55,216.14451184334985,130.655,0.44,0.585,90.82,122.88278968187531,56.075,0.245,0.47,80.84,107.20102611449202,48.99,0.28,0.43,0,liad_olier_personal_5_20250306_220445
105.265,149.9434059903936,79.745,0.425,0.565,189.925,267.1674849228476,135.495,0.36,0.56,284.405,394.7791091230639,207.065,0.36,0.555,390.1,548.4883043420342,309.655,0.37,0.56,308.59,427.6699895947809,212.3,0.37,0.545,201.665,279.2422693647937,140.955,0.37,0.535,90.23,125.2563371650313,58.59,0.265,0.445,80.72,106.84310927710781,52.525,0.27,0.44,0,liad_olier_personal_5_20250306_220445
98.125,118.36445834793483,76.615,0.41,0.56,169.78,207.93467724263792,127.205,0.415,0.54,249.64,309.75869640738097,195.32,0.385,0.56,356.845,445.28610465632096,293.225,0.4,0.56,272.705,338.0150662322613,208.835,0.345,0.53,178.54,217.77228932993287,142.52,0.425,0.56,120.3,160.47632224100852,69.58,0.235,0.395,93.345,115.49530293479472,57.855,0.265,0.46,0,liad_olier_personal_5_20250306_220445
99.64,127.79730044097175,84.245,0.41,0.55,180.77,224.52910724447287,133.795,0.39,0.555,270.83,334.5803939264822,195.34,0.375,0.555,372.895,461.2692001423897,282.115,0.365,0.555,290.545,358.0847734824814,211.97,0.37,0.56,188.68,233.6008347587825,144.745,0.385,0.535,95.945,130.03247671255053,54.875,0.245,0.415,86.985,112.42292915593332,53.82,0.265,0.425,0,liad_olier_personal_5_20250306_220445
105.52,129.77114471252844,83.705,0.37,0.51,192.97,237.295722675315,145.84,0.355,0.51,290.49,355.39202298307146,220.58,0.315,0.5,407.255,498.2812107635607,319.36,0.29,0.49,315.475,386.61747891164987,239.2,0.305,0.49,197.91,244.39664482148686,153.57,0.325,0.51,90.405,111.20505833818892,53.53,0.245,0.365,80.035,100.39464627160154,48.4,0.27,0.405,0,liad_olier_personal_5_20250306_220445
94.7,116.76733276049428,80.28,0.395,0.615,167.035,208.0371240908699,133.9,0.36,0.57,240.435,301.0043604335326,193.465,0.35,0.57,329.855,414.2432075484159,275.73,0.39,0.575,260.92,326.6601444927128,208.32,0.37,0.565,168.57,210.7479062766698,138.595,0.39,0.565,91.615,123.04046082488476,55.0,0.205,0.42,78.73,101.7589308119931,50.33,0.27,0.495,0,liad_olier_personal_5_20250306_220445
100.36,135.53080830571326,89.96,0.435,0.61,182.565,234.1752655597939,151.43,0.35,0.605,266.14,334.5142597857377,214.26,0.33,0.605,363.23,452.73201786487334,298.405,0.34,0.605,286.015,359.21608399402163,231.62,0.32,0.615,183.745,236.1275185148906,152.73,0.345,0.595,96.5,132.09292183913564,60.985,0.265,0.375,82.39,105.39568302354704,53.15,0.235,0.425,0,liad_olier_personal_5_20250306_220445
124.925,170.94480103238004,95.165,0.385,0.56,214.48,287.6683507096323,165.49,0.36,0.545,300.37,400.0332986140029,228.1,0.33,0.555,408.17,542.2569778250898,319.895,0.38,0.555,325.885,431.52782644923377,241.66,0.34,0.545,214.655,286.0960765197593,164.62,0.365,0.545,137.1,176.42346782670384,74.26,0.165,0.315,103.26,136.93739445454628,57.98,0.205,0.445,0,liad_olier_personal_5_20250306_220445
145.365,205.72259234221215,95.535,0.385,0.5,239.185,340.3362675355067,166.02,0.355,0.47,326.825,471.682674051104,245.245,0.37,0.51,430.87,624.9976479955744,364.51,0.345,0.53,348.69,500.77832421142193,260.71,0.355,0.51,236.34,331.92889298763976,166.96,0.37,0.48,106.65,140.8700464967624,56.39,0.24,0.39,84.865,107.10889318819423,52.42,0.26,0.46,0,liad_olier_personal_5_20250306_220445
104.3,140.99581554074575,82.75,0.44,0.56,174.89,232.7653539511411,131.64,0.425,0.55,247.275,328.3316844290237,188.735,0.385,0.56,334.655,441.3541265242685,269.65,0.405,0.57,263.165,347.6331759196754,194.51,0.385,0.53,173.975,231.74963861891996,139.355,0.405,0.565,106.485,133.19007095125372,64.42,0.21,0.42,79.52,101.466496933717,55.59,0.29,0.485,0,liad_olier_personal_5_20250306_220445
113.89,137.77452594728823,87.69,0.395,0.545,186.295,228.271034080104,139.405,0.385,0.555,261.245,321.2958838827538,198.63,0.375,0.535,351.105,434.3445003680834,277.7,0.42,0.535,277.53,344.04379081739,216.895,0.38,0.545,186.435,226.79961419720274,137.22,0.385,0.56,80.1,117.54301340360473,49.145,0.275,0.405,74.62,96.8550463321349,49.3,0.23,0.44,0,liad_olier_personal_5_20250306_220445
110.33,136.02878371874095,80.635,0.38,0.545,177.25,219.795313871793,135.525,0.36,0.59,246.3,304.5866871680376,191.275,0.36,0.575,324.555,405.5049506479545,269.69,0.39,0.61,254.85,316.54064509948796,199.205,0.38,0.595,175.295,213.0656823610973,123.545,0.37,0.59,95.29,133.57660723345236,63.1,0.305,0.39,80.93,104.01168203620207,53.23,0.305,0.455,0,liad_olier_personal_5_20250306_220445
98.735,123.29024697842081,85.1,0.43,0.615,164.475,204.7562086970747,131.915,0.385,0.6,237.075,292.69877861036593,177.575,0.355,0.59,319.405,396.43186678167035,243.085,0.405,0.59,253.245,315.32712379368826,192.61,0.355,0.58,166.85,206.18195847357742,127.52,0.37,0.605,115.08,151.2583551411293,65.78,0.195,0.39,88.525,110.09470922800968,54.095,0.245,0.49,0,liad_olier_personal_5_20250306_220445
109.565,133.89381987231525,86.425,0.38,0.535,182.59,224.13529396326675,143.125,0.325,0.515,248.93,304.8138940402816,193.305,0.33,0.505,328.575,400.6631690085826,258.52,0.33,0.525,259.34,318.25618611426864,202.85,0.335,0.505,174.16,212.04386338680024,133.18,0.37,0.525,94.37,116.78056345128671,54.36,0.245,0.35,76.18,98.49456837815983,49.64,0.265,0.4,0,liad_olier_personal_5_20250306_220445
110.415,135.03964232772537,79.705,0.4,0.515,177.915,218.03388498121112,132.08,0.34,0.535,243.595,302.43674545266487,188.015,0.34,0.525,317.855,396.5128938634909,257.9,0.36,0.535,258.845,318.62781579767955,193.94,0.32,0.525,177.215,216.98597880969177,127.925,0.385,0.505,116.44,148.1211666170639,64.46,0.2,0.38,86.905,109.36541958041398,52.02,0.22,0.49,0,liad_olier_personal_5_20250306_220445
105.375,131.3462409054785,82.445,0.37,0.55,171.865,218.9223949256905,141.58,0.39,0.56,234.485,297.50742007553356,194.595,0.41,0.585,312.745,395.1995635119047,263.305,0.445,0.585,250.115,316.85820961433205,203.51,0.4,0.57,166.925,210.58692979385023,135.02,0.375,0.585,164.84,236.5808952557243,90.785,0.24,0.295,77.35,99.7007021038468,51.35,0.275,0.4,0,liad_olier_personal_5_20250306_220445
103.435,127.26580451951733,84.225,0.39,0.49,168.645,215.71586636128552,138.665,0.38,0.535,230.67,291.377813156733,178.31,0.385,0.555,305.53,384.4237765799613,240.25,0.395,0.56,239.22,305.0445377317876,189.925,0.385,0.56,162.59,209.48240976272925,131.495,0.4,0.505,39.765,52.25834861531696,23.085,0.225,0.23,95.235,120.2517151644832,52.11,0.215,0.415,0,liad_olier_personal_5_20250306_220445
104.105,126.98308942532466,85.805,0.405,0.535,174.24,217.58494892799916,147.35,0.37,0.52,246.415,304.03204600831145,194.445,0.36,0.53,322.665,398.9414180052004,259.78,0.37,0.55,253.095,313.22272427140405,201.025,0.365,0.53,167.695,205.72721015947306,129.785,0.375,0.52,4.465,6.119231977952789,2.81,0.395,0.335,92.385,117.86710737097097,51.945,0.205,0.45,0,liad_olier_personal_5_20250306_220445
97.16,120.45289535747989,79.58,0.42,0.555,160.625,202.66710389207225,133.5,0.41,0.54,228.475,284.7760962580954,181.77,0.405,0.55,305.535,380.2887389865758,247.125,0.395,0.57,238.505,296.82792153030346,186.3,0.395,0.55,154.305,191.57130526255753,125.05,0.355,0.55,0.24,0.5291502622129182,0.215,0.185,0.31,96.795,119.59730348130763,56.62,0.235,0.435,0,liad_olier_personal_5_20250306_220445
107.875,133.4572028779264,95.58,0.36,0.51,175.81,217.1440075157498,153.455,0.345,0.51,233.99,287.58850811532784,198.11,0.345,0.51,302.735,376.72878175154074,266.735,0.345,0.52,244.545,300.79613528102385,204.13,0.345,0.51,177.75,221.7043526861843,153.57,0.315,0.505,0.0,0.0,0.0,0.0,0.0,87.495,112.52521939547596,50.47,0.255,0.455,0,liad_olier_personal_5_20250306_220445
102.765,122.49863264542996,76.925,0.44,0.555,160.4,193.14070000908666,122.38,0.465,0.57,209.275,254.45271662923938,165.565,0.465,0.545,271.11,334.46757690395043,226.855,0.46,0.565,217.54,265.9898306326766,173.35,0.435,0.56,149.42,180.9363147629574,120.98,0.405,0.575,0.0,0.0,0.0,0.0,0.0,70.31,90.96499326664076,44.625,0.28,0.47,0,liad_olier_personal_5_20250306_220445
112.595,137.14351971566137,85.525,0.395,0.55,179.105,224.1163871741645,145.84,0.375,0.555,233.215,291.7996315967517,193.055,0.365,0.545,287.595,358.8716692635405,253.65,0.395,0.555,231.825,287.8420660709619,192.455,0.405,0.575,178.175,224.66560706970705,145.535,0.425,0.545,0.0,0.0,0.0,0.0,0.0,76.11,96.12980807221037,50.505,0.22,0.435,0,liad_olier_personal_5_20250306_220445
113.635,140.801331669839,85.61,0.425,0.57,183.85,226.56835613121265,137.31,0.465,0.565,245.275,299.5309416404255,182.03,0.465,0.555,351.22,442.74178704974304,291.575,0.395,0.54,269.78,341.34179351494595,205.505,0.365,0.565,196.235,246.10382971420822,147.79,0.3,0.555,147.54,216.24051424282175,75.545,0.165,0.25,84.69,106.71743062874032,50.915,0.26,0.445,0,liad_olier_personal_5_20250306_220445
114.79,142.7101608155495,93.715,0.4,0.555,172.87,218.41971064901628,150.88,0.39,0.57,227.875,289.2435392536884,200.105,0.385,0.57,284.655,356.5697056677698,258.95,0.405,0.585,230.455,284.5623218207217,193.98,0.38,0.55,182.92,226.72242941535362,142.55,0.375,0.57,120.795,165.6229301757459,72.425,0.235,0.4,75.935,99.4324142319797,56.81,0.33,0.44,0,liad_olier_personal_5_20250306_220445
110.235,134.61903654387072,89.78,0.425,0.495,168.285,206.89873126725547,136.205,0.44,0.515,218.495,268.518239603942,182.205,0.43,0.545,274.77,343.3555591511516,250.34,0.44,0.535,219.835,270.8587362445598,181.605,0.42,0.545,163.695,211.6734867667654,127.635,0.395,0.565,103.12,138.39620659541214,57.535,0.21,0.42,78.725,98.97673969170737,52.28,0.25,0.46,0,liad_olier_personal_5_20250306_220445
112.12,143.24821115811534,86.48,0.385,0.545,167.42,214.48100148964244,132.615,0.41,0.58,215.575,278.8127776842374,174.86,0.39,0.575,278.905,360.18940156534313,239.705,0.435,0.585,225.875,289.58091269971504,191.295,0.33,0.565,180.325,227.16752628842002,148.325,0.385,0.505,101.08,139.76022323966143,61.365,0.205,0.39,75.495,95.77215148465655,49.04,0.25,0.485,0,liad_olier_personal_5_20250306_220445
