MAV_CH1,RMS_CH1,WL_CH1,ZC_CH1,SSC_CH1,MAV_CH2,RMS_CH2,WL_CH2,ZC_CH2,SSC_CH2,MAV_CH3,RMS_CH3,WL_CH3,ZC_CH3,SSC_CH3,MAV_CH4,RMS_CH4,WL_CH4,ZC_CH4,SSC_CH4,MAV_CH5,RMS_CH5,WL_CH5,ZC_CH5,SSC_CH5,MAV_CH6,RMS_CH6,WL_CH6,ZC_CH6,SSC_CH6,MAV_CH7,RMS_CH7,WL_CH7,ZC_CH7,SSC_CH7,MAV_CH8,RMS_CH8,WL_CH8,ZC_CH8,SSC_CH8,Label,SessionID
206.94331983805668,279.26351956588223,84526,0.36639676113360325,0.6680161943319838,213.75708502024293,291.4081059451269,76418,0.305668016194332,0.49190283400809715,237.3684210526316,332.64658879422956,97088,0.42105263157894735,0.6558704453441295,202.2753036437247,280.616758555483,81965,0.42105263157894735,0.5789473684210527,217.72267206477733,302.27249617409757,84736,0.3765182186234818,0.548582995951417,256.6578947368421,367.6519790954396,91621,0.30364372469635625,0.4939271255060729,415.6578947368421,652.2721002101429,127466,0.3076923076923077,0.44534412955465585,115.9089068825911,150.5307277601487,47467,0.3805668016194332,0.5931174089068826,5,Roee_Savion_9
104.545,131.18546032240005,16731,0.375,0.51,126.305,155.35586567619518,20023,0.42,0.51,127.78,158.47734853915244,20751,0.41,0.52,128.31,160.89869483622294,20869,0.385,0.54,124.14,154.36871444693708,19626,0.38,0.505,119.62,147.8717011466359,18802,0.385,0.54,119.195,149.41929259637124,20332,0.385,0.555,108.295,135.98435571785453,16830,0.38,0.52,0,Roee_Savion_9
367.22,697.6689544475947,29066,0.28,0.45,294.57,504.00749002370986,27744,0.285,0.42,293.82,501.93215677021533,28017,0.285,0.51,231.895,353.333305817609,23905,0.29,0.42,276.005,479.7393511064107,27998,0.275,0.46,252.185,412.6527656517038,26265,0.3,0.44,184.27,266.8168285547222,21561,0.3,0.45,177.155,254.05069376012338,18565,0.315,0.46,0,Roee_Savion_9
106.66,133.36000149970005,17174,0.355,0.55,122.305,156.65466798024246,22379,0.325,0.575,124.345,156.90473224221122,21565,0.355,0.55,121.85,153.6516514717626,21119,0.355,0.57,115.76,145.56716662764305,19026,0.415,0.555,111.145,140.08310033690717,18549,0.41,0.57,118.175,149.76984008804976,20684,0.38,0.56,108.98,137.74516325446785,18374,0.38,0.55,0,Roee_Savion_9
151.425,192.08405712083447,19155,0.25,0.515,140.18,174.3549827220318,22279,0.29,0.555,131.09,166.2514661589485,21073,0.325,0.525,125.725,158.23594724334924,20199,0.315,0.525,138.95,172.14322525153293,19812,0.315,0.535,138.975,173.89984186306782,21574,0.31,0.525,120.975,148.66490843504394,19199,0.35,0.55,130.18,163.83519157983122,19822,0.285,0.535,0,Roee_Savion_9
115.965,151.5918698347639,18485,0.375,0.6,118.805,149.3136463957665,19874,0.435,0.61,116.555,147.51493144763347,20545,0.41,0.6,108.165,135.80414205759706,18975,0.445,0.575,114.71,145.0335823180273,20464,0.38,0.57,110.695,141.52644629185033,19518,0.43,0.57,105.47,133.8979088709006,19517,0.43,0.585,99.96,127.58146417093668,17196,0.42,0.59,0,Roee_Savion_9
137.34,196.3644825318469,17708,0.36,0.54,146.8,194.2937466826969,19978,0.365,0.54,138.33,182.24318917314852,19307,0.405,0.54,126.095,158.57769389166938,19175,0.405,0.545,136.185,178.5165678585604,19240,0.4,0.54,135.37,175.6795377953847,19207,0.385,0.54,113.315,140.33297901776334,17649,0.42,0.53,123.345,153.05405907717704,16821,0.345,0.5,0,Roee_Savion_9
98.87,122.10241602851272,15952,0.42,0.52,115.35,141.79069080867052,18324,0.44,0.53,115.65,142.58723645544154,18662,0.425,0.545,112.67,137.238223538488,17598,0.44,0.54,114.355,140.13059979890187,18230,0.45,0.54,109.23,135.06331848433163,17767,0.435,0.55,113.445,139.96483486933423,17704,0.435,0.54,100.785,123.71748057570522,15841,0.42,0.54,0,Roee_Savion_9
98.9,124.08952413479551,16166,0.385,0.545,119.51,150.76647505330885,19634,0.395,0.54,119.765,151.47493191944335,19707,0.4,0.54,115.85,146.66516287107856,19435,0.395,0.53,116.885,149.3347749186371,19931,0.39,0.54,112.655,143.6344492104871,19375,0.395,0.54,114.53,144.3124041792666,18932,0.37,0.54,100.795,126.97694672656135,16527,0.385,0.535,0,Roee_Savion_9
91.655,112.08298265124817,15089,0.46,0.555,110.425,136.02946372018084,19018,0.46,0.555,109.735,134.6308842725175,18563,0.46,0.545,105.66,130.26522943594733,18298,0.465,0.555,106.09,130.75152006764586,18230,0.49,0.555,103.06,127.61857231610139,17883,0.475,0.555,105.685,130.39457427362535,17942,0.46,0.545,94.01,115.67437054075548,15730,0.455,0.57,0,Roee_Savion_9
97.585,122.46168788645696,16543,0.415,0.57,119.565,148.33254868706328,20026,0.4,0.56,119.31,147.12300975714166,19594,0.395,0.56,112.425,140.0039463729505,19026,0.4,0.56,115.835,143.21611292029957,19198,0.395,0.55,112.47,139.3196683889249,18913,0.385,0.55,114.17,142.77005988651823,19536,0.4,0.55,99.675,124.54370718747695,16709,0.41,0.53,0,Roee_Savion_9
90.7,111.50784725749125,15112,0.41,0.54,109.655,134.84088771585567,17980,0.425,0.53,108.495,134.3576756274088,18269,0.445,0.54,104.805,129.2544196536428,17338,0.47,0.535,104.38,128.27930464420206,17149,0.455,0.53,102.89,125.86596044999617,16793,0.44,0.525,105.17,128.90256009870401,17507,0.415,0.535,92.64,113.28720139539152,15446,0.425,0.535,0,Roee_Savion_9
102.585,127.89532829622824,16137,0.355,0.52,117.245,148.4879624750774,19832,0.345,0.5,119.13,149.85246077392256,19830,0.335,0.505,113.945,143.04570947777498,19033,0.34,0.505,114.27,143.68465471302076,18956,0.36,0.51,112.605,141.68925506191357,18697,0.335,0.49,114.175,145.05245602884497,19284,0.355,0.495,99.02,125.49163318723683,17004,0.35,0.485,0,Roee_Savion_9
96.925,121.62370245967684,16944,0.355,0.51,114.93,143.58081348146766,19914,0.36,0.52,114.89,143.68155761961935,19632,0.36,0.52,109.22,137.05290949118884,18812,0.345,0.53,109.225,137.31939047345062,19245,0.36,0.53,107.065,134.1811275850669,18682,0.355,0.53,111.655,140.0582914361017,19400,0.35,0.52,96.31,120.47369007380823,16951,0.365,0.515,0,Roee_Savion_9
99.85,123.66515273107457,15625,0.445,0.545,119.125,147.54021485683148,18669,0.45,0.54,118.565,147.22450543302904,18711,0.45,0.545,114.075,140.510800296632,17697,0.45,0.525,114.51,141.022551388067,17768,0.45,0.525,112.205,138.3546349060992,17491,0.455,0.535,113.775,140.7379302107289,18035,0.45,0.53,99.485,122.3271229122961,15587,0.435,0.525,0,Roee_Savion_9
105.015,130.5909070341423,16857,0.405,0.49,121.745,150.64463150076077,19978,0.425,0.51,121.535,150.72420177264166,19899,0.415,0.505,118.1,146.34537915492925,19088,0.415,0.51,119.56,147.95026191257654,19346,0.395,0.5,116.965,144.89663557170678,18962,0.395,0.505,118.31,146.12652052245684,19220,0.405,0.515,105.94,130.7993119247957,16875,0.41,0.49,0,Roee_Savion_9
99.31,121.11721595215107,15440,0.375,0.565,116.39,140.48480344862926,17826,0.375,0.57,117.255,141.56237141274514,18199,0.385,0.55,112.46,136.18751778338572,17539,0.385,0.555,113.21,137.58397435748103,17855,0.385,0.555,110.31,133.98645453925556,17035,0.38,0.545,112.725,136.47840488516854,17173,0.4,0.555,99.565,122.23307653822675,15780,0.38,0.555,0,Roee_Savion_9
107.725,128.78728586316277,16847,0.36,0.535,133.435,157.1129689109082,19887,0.36,0.525,132.485,155.73244684393808,19818,0.365,0.53,128.33,150.99572841640256,19223,0.365,0.535,127.61,150.80401188297344,19262,0.36,0.525,124.985,147.5563790556003,18882,0.365,0.54,129.525,152.42068429186375,19095,0.36,0.535,112.03,132.173181848664,16509,0.365,0.53,0,Roee_Savion_9
102.365,124.922315860698,16834,0.395,0.53,119.6,147.37642280907758,20142,0.42,0.54,119.515,147.8955543618536,20243,0.415,0.535,114.47,140.88243325553404,19436,0.41,0.54,114.86,141.26372499690075,19441,0.41,0.54,111.135,137.0710582143437,18749,0.42,0.535,115.655,142.82112938917686,19012,0.4,0.53,103.425,127.14135833787525,16407,0.405,0.52,0,Roee_Savion_9
95.17,119.45266845072989,16153,0.415,0.575,106.19,131.32577812447943,17608,0.435,0.585,107.35,132.99060117166175,18003,0.395,0.575,101.985,126.79047677171972,17343,0.425,0.575,103.495,128.42435516676733,17565,0.42,0.575,99.895,123.54203737999467,16841,0.415,0.585,100.775,126.41746319239284,17050,0.425,0.595,92.14,115.44028759492934,15742,0.435,0.58,0,Roee_Savion_9
105.31,133.80209265927047,16970,0.415,0.515,120.875,153.25082381507775,20230,0.45,0.54,119.005,150.69862308594594,20868,0.415,0.54,112.395,142.1061750945398,19648,0.455,0.54,114.64,144.30526670915376,19901,0.425,0.54,111.19,140.7952058842914,19293,0.435,0.545,108.68,137.34179990083135,19470,0.47,0.52,112.635,161.62272426858792,18399,0.42,0.5,0,Roee_Savion_9
