SessionID,N,Timestamp,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,AccX,AccY,AccZ,GyX,GyY,GyZ,VBAT,Label,Action Name,ActionTime
new_liad_olier_20250129_134841,1,0.001001596,4622698,4625596,4693789,4629922,4481393,4580425,4612781,4641404,16419,-2543,-1225,1250,233,-368,4031,0,Rest,0.001001596
new_liad_olier_20250129_134841,2,0.001001596,4622523,4625437,4693651,4629737,4481137,4580181,4612528,4641194,16419,-2543,-1225,1250,233,-368,4031,0,Rest,0.001001596
new_liad_olier_20250129_134841,3,0.001001596,4622484,4625349,4693535,4629615,4480984,4580052,4612383,4641086,16419,-2543,-1225,1250,233,-368,4031,0,Rest,0.001001596
new_liad_olier_20250129_134841,4,0.001001596,4622397,4625188,4693324,4629411,4480774,4579880,4612197,4640931,16419,-2543,-1225,1250,233,-368,4031,0,Rest,0.001001596
new_liad_olier_20250129_134841,5,0.001001596,4622418,4625143,4693234,4629331,4480703,4579843,4612143,4640903,16526,-2665,-1150,1614,122,-489,4031,0,Rest,0.001001596
new_liad_olier_20250129_134841,6,0.001001596,4622473,4625144,4693183,4629303,4480706,4579889,4612157,4640936,16526,-2665,-1150,1614,122,-489,4031,0,Rest,0.001001596
new_liad_olier_20250129_134841,7,0.001001596,4622494,4625205,4693310,4629377,4480766,4580003,4612146,4640955,16526,-2665,-1150,1614,122,-489,4031,0,Rest,0.001001596
new_liad_olier_20250129_134841,8,0.001001596,4622713,4625467,4693633,4629652,4481032,4580293,4612364,4641209,16526,-2665,-1150,1614,122,-489,4031,0,Rest,0.001001596
new_liad_olier_20250129_134841,9,0.001001596,4622949,4625731,4693916,4629916,4481289,4580545,4612622,4641486,16526,-2665,-1150,1614,122,-489,4031,0,Rest,0.001001596
new_liad_olier_20250129_134841,10,0.001001596,4623046,4625888,4694123,4630071,4481410,4580671,4612729,4641623,16526,-2665,-1150,1614,122,-489,4031,0,Rest,0.001001596
new_liad_olier_20250129_134841,11,0.001001596,4623047,4625950,4694251,4630146,4481406,4580676,4612688,4641623,16526,-2665,-1150,1614,122,-489,4031,0,Rest,0.001001596
new_liad_olier_20250129_134841,12,0.001001596,4623053,4625926,4694199,4630091,4481309,4580573,4612640,4641611,16526,-2665,-1150,1614,122,-489,4031,0,Rest,0.001001596
new_liad_olier_20250129_134841,13,0.001001596,4622914,4625729,4693954,4629856,4481041,4580309,4612421,4641413,16526,-2665,-1150,1614,122,-489,4031,0,Rest,0.001001596
new_liad_olier_20250129_134841,14,0.001001596,4622841,4625591,4693782,4629693,4480862,4580141,4612262,4641292,16526,-2665,-1150,1614,122,-489,4031,0,Rest,0.001001596
new_liad_olier_20250129_134841,15,0.001001596,4622826,4625528,4693697,4629618,4480778,4580071,4612174,4641237,16707,-2753,-1126,1821,43,-549,4031,0,Rest,0.001001596
new_liad_olier_20250129_134841,16,0.001001596,4622741,4625444,4693652,4629549,4480697,4580014,4612033,4641121,16707,-2753,-1126,1821,43,-549,4031,0,Rest,0.001001596
new_liad_olier_20250129_134841,17,0.001001596,4622926,4625642,4693888,4629768,4480928,4580241,4612202,4641318,16707,-2753,-1126,1821,43,-549,4031,0,Rest,0.001001596
new_liad_olier_20250129_134841,18,0.001001596,4623156,4625887,4694156,4630025,4481216,4580505,4612454,4641601,16707,-2753,-1126,1821,43,-549,4031,0,Rest,0.001001596
new_liad_olier_20250129_134841,19,0.001001596,4623272,4626095,4694454,4630276,4481425,4580724,4612581,4641769,16707,-2753,-1126,1821,43,-549,4031,0,Rest,0.001001596
new_liad_olier_20250129_134841,20,0.001001596,4623435,4626302,4694696,4630511,4481652,4580913,4612770,4641984,16707,-2753,-1126,1821,43,-549,4031,0,Rest,0.001001596
new_liad_olier_20250129_134841,21,0.001001596,4623381,4626291,4694720,4630512,4481601,4580834,4612704,4641951,16707,-2753,-1126,1821,43,-549,4031,0,Rest,0.001001596
new_liad_olier_20250129_134841,22,0.001001596,4623254,4626196,4694669,4630413,4481431,4580661,4612509,4641803,16707,-2753,-1126,1821,43,-549,4031,0,Rest,0.001001596
new_liad_olier_20250129_134841,23,0.001001596,4623279,4626167,4694609,4630363,4481366,4580563,4612466,4641789,16707,-2753,-1126,1821,43,-549,4031,0,Rest,0.001001596
new_liad_olier_20250129_134841,24,0.001001596,4623192,4626024,4694421,4630210,4481210,4580405,4612318,4641662,16707,-2753,-1126,1821,43,-549,4031,0,Rest,0.001001596
new_liad_olier_20250129_134841,25,0.001001596,4623171,4625953,4694330,4630144,4481158,4580385,4612226,4641606,16769,-2782,-1101,2157,41,-609,4031,0,Rest,0.001001596
new_liad_olier_20250129_134841,26,0.001001596,4623083,4625879,4694296,4630090,4481106,4580353,4612083,4641496,16769,-2782,-1101,2157,41,-609,4031,0,Rest,0.001001596
new_liad_olier_20250129_134841,27,0.001001596,4623266,4626084,4694539,4630325,4481368,4580623,4612244,4641688,16769,-2782,-1101,2157,41,-609,4031,0,Rest,0.001001596
new_liad_olier_20250129_134841,28,0.001001596,4623456,4626315,4694814,4630595,4481656,4580903,4612443,4641919,16769,-2782,-1101,2157,41,-609,4031,0,Rest,0.001001596
new_liad_olier_20250129_134841,29,0.001001596,4623605,4626539,4695094,4630855,4481919,4581143,4612619,4642123,16769,-2782,-1101,2157,41,-609,4031,0,Rest,0.001001596
new_liad_olier_20250129_134841,30,0.001001596,4623769,4626744,4695318,4631063,4482121,4581326,4612808,4642346,16769,-2782,-1101,2157,41,-609,4031,0,Rest,0.001001596
