MAV_CH1,RMS_CH1,WL_CH1,ZC_CH1,SSC_CH1,MAV_CH2,RMS_CH2,WL_CH2,ZC_CH2,SSC_CH2,MAV_CH3,RMS_CH3,WL_CH3,ZC_CH3,SSC_CH3,MAV_CH4,RMS_CH4,WL_CH4,ZC_CH4,SSC_CH4,MAV_CH5,RMS_CH5,WL_CH5,ZC_CH5,SSC_CH5,MAV_CH6,RMS_CH6,WL_CH6,ZC_CH6,SSC_CH6,MAV_CH7,RMS_CH7,WL_CH7,ZC_CH7,SSC_CH7,MAV_CH8,RMS_CH8,WL_CH8,ZC_CH8,SSC_CH8,Label,SessionID
130.265,163.19502137013862,21615,84,122,155.895,195.1145176556578,25337,84,127,176.545,221.55869425504383,29174,83,126,287.725,349.5063304147723,49449,111,169,294.57,366.0789122579994,54442,99,167,237.045,293.3153337280545,44302,105,163,325.395,387.47449593489375,51912,119,169,402.945,474.4634285168879,69600,137,175,0,heni_olier_31_1_try2_20250131_182803
104.36,129.90011547338977,17607,89,118,113.99,140.4126774903178,18707,87,118,122.14,152.04315176948944,19658,79,112,144.455,181.94973206905252,24339,90,129,169.35,210.58608690984312,27725,100,125,140.395,174.38192280164822,22975,94,123,166.295,209.356884290916,28087,90,130,137.145,166.30882417959668,21661,134,175,0,heni_olier_31_1_try2_20250131_182803
119.885,153.33360688381396,19743,74,105,135.02,174.2041044292585,21633,78,105,140.595,180.54344352537424,22780,78,99,156.815,200.2732758008417,24679,84,107,197.125,275.48256750654843,33440,82,103,148.345,200.00871231023913,25903,80,111,231.59,303.66623124740096,37007,70,97,108.575,132.48118734371306,17536,86,138,0,heni_olier_31_1_try2_20250131_182803
113.715,140.0637533411125,18644,97,117,133.305,167.66462059719098,22584,80,113,145.715,181.6973445045359,23783,73,111,161.1,204.12043013868063,26655,68,101,187.355,235.74143674797608,28055,73,101,160.72,204.1352982705343,23917,72,109,241.545,307.124998982499,32375,63,98,89.345,108.55747325725669,13613,90,123,0,heni_olier_31_1_try2_20250131_182803
123.445,152.5928078252707,19857,80,113,146.305,184.8241190970486,23479,73,108,161.795,204.32661353822706,24809,67,102,172.74,220.77701420211298,27200,63,100,196.65,255.878525867256,30176,74,106,167.395,219.3694030625055,25565,73,111,175.215,232.33535030210103,27074,62,107,82.34,104.30747815952603,13923,88,113,0,heni_olier_31_1_try2_20250131_182803
111.075,141.19452893083357,19517,90,110,122.765,155.71661761032442,21177,90,106,129.125,165.1553662464529,22632,85,108,138.54,175.92077762447505,23888,76,106,148.01,194.7019260305352,25049,76,102,131.32,170.64682827407017,23355,80,106,164.63,217.97788878691344,27876,75,100,90.635,112.57528592013435,15401,90,110,0,heni_olier_31_1_try2_20250131_182803
109.375,134.1825808367092,18458,84,109,122.765,150.48087918403454,19878,74,105,130.37,160.94048589463125,21292,76,103,138.755,171.88660506275642,21990,77,103,165.625,210.55553899149746,27517,77,107,148.39,185.46633117630813,22953,68,107,144.795,185.65878648747005,23938,67,107,85.785,108.32813577275296,14942,85,101,0,heni_olier_31_1_try2_20250131_182803
115.52,152.98588170154787,21056,82,101,127.425,164.1433672129337,22540,75,101,135.66,173.79283644615506,23782,77,100,147.835,187.54238187673738,23847,72,106,156.385,208.45499514283654,29211,77,108,139.17,179.07590569364712,23982,75,109,169.035,217.9643434142383,25589,74,97,95.57,126.78320077991405,16091,69,98,0,heni_olier_31_1_try2_20250131_182803
125.38,167.36319786619757,18703,93,107,136.135,183.41299027059125,20296,81,107,146.49,197.5240744820742,22789,78,106,154.825,209.8795964356707,24329,76,108,174.82,235.92988365190197,27194,66,108,159.325,214.16438779591718,24155,70,100,181.56,253.50090729620672,27667,67,99,99.31,134.5376898865147,15420,86,107,0,heni_olier_31_1_try2_20250131_182803
131.575,191.73389110952712,21678,85,107,136.295,197.59044764360448,21474,88,104,138.205,199.6108589230556,22630,81,110,142.935,205.62065800886836,23038,87,114,192.89,270.78260653151267,29191,63,104,157.85,228.04604798154253,26088,76,114,194.105,256.5270453577946,28787,82,106,108.275,156.05974817357614,17547,87,110,0,heni_olier_31_1_try2_20250131_182803
