MAV_CH1,RMS_CH1,WL_CH1,ZC_CH1,SSC_CH1,MAV_CH2,RMS_CH2,WL_CH2,ZC_CH2,SSC_CH2,MAV_CH3,RMS_CH3,WL_CH3,ZC_CH3,SSC_CH3,MAV_CH4,RMS_CH4,WL_CH4,ZC_CH4,SSC_CH4,MAV_CH5,RMS_CH5,WL_CH5,ZC_CH5,SSC_CH5,MAV_CH6,RMS_CH6,WL_CH6,ZC_CH6,SSC_CH6,MAV_CH7,RMS_CH7,WL_CH7,ZC_CH7,SSC_CH7,MAV_CH8,RMS_CH8,WL_CH8,ZC_CH8,SSC_CH8,Label,SessionID
3152.165,3590.475630748662,490347,147,173,3173.08,3617.7589610144014,495650,147,173,3132.54,3576.217908629171,491905,147,173,3156.055,3602.218655911937,495094,147,173,3124.95,3562.9450921955,488041,147,173,3143.29,3580.153531624028,489172,147,173,3188.99,3634.01593970087,497097,147,173,3205.875,3652.867236158467,499435,147,173,0,liad_olier_31_!_try1_20250131_162914
852.865,978.0511873107665,83441,174,189,857.2,984.5071406546526,86853,174,189,845.025,972.7922979752667,89194,172,191,851.695,980.3525972832427,89417,172,191,843.95,969.7473588517785,85777,172,191,849.745,975.0919879683147,83738,174,191,862.235,989.091838506415,84452,174,189,866.795,994.6629554778845,85043,172,189,0,liad_olier_31_!_try1_20250131_162914
427.345,541.3100728787522,17759,188,193,428.425,542.8302911592167,17877,190,193,420.525,533.4558697774353,17981,194,193,423.805,537.5316409291643,17828,196,195,421.91,533.9811607163683,16233,188,193,425.835,538.6154425933219,15167,188,193,432.165,547.0883155396393,17921,190,191,434.65,550.7530571862493,18987,188,192,0,liad_olier_31_!_try1_20250131_162914
203.515,224.85649868304895,15482,186,197,207.26,231.7766381670077,19940,176,198,202.565,223.42935125000923,17837,176,198,210.08,235.8369563914867,22525,163,198,200.69,223.99975446415115,16184,188,198,208.175,233.45696605584507,16885,186,198,267.985,344.3021420206386,27533,154,191,245.625,293.41401636595344,23890,162,195,0,liad_olier_31_!_try1_20250131_162914
63.165,75.20169545961049,9187,168,187,62.495,73.56762195422657,8720,166,189,61.81,71.73478932847019,8881,156,185,64.865,76.29295511382423,10272,146,179,61.625,72.78684633915664,8495,168,187,61.43,73.42227182538007,8671,172,189,67.92,84.17291725965069,11315,147,183,69.01,86.14006036682352,11710,144,183,0,liad_olier_31_!_try1_20250131_162914
39.485,51.75842926519312,6945,98,147,35.425,46.939588835012174,6249,108,147,34.635,45.10260524626044,5529,92,156,34.915,46.57805277166489,5819,86,154,36.775,48.63409298013072,6637,106,147,37.955,49.923090849826195,6689,93,150,46.94,61.59358732855231,7980,93,137,48.97,63.581443833873415,8058,94,133,0,liad_olier_31_!_try1_20250131_162914
32.545,41.98720043060742,5034,91,117,28.995,37.795171649299334,4622,86,119,27.23,35.92993181179168,4027,66,120,28.55,37.06453830819966,3972,72,120,31.935,40.32052827034884,4747,99,116,31.14,39.804773583076695,4766,92,117,41.775,53.32340011664673,6562,97,115,44.305,56.210274861452156,6861,93,110,0,liad_olier_31_!_try1_20250131_162914
33.46,41.726130901390796,4957,70,109,31.815,39.48436399386471,4359,74,105,31.455,39.381404241088205,4186,53,85,31.75,39.3270898999659,4237,55,89,32.45,40.383040994952324,4695,72,106,31.885,40.61840715734678,4864,83,116,39.19,49.441480560355394,6217,81,118,41.105,52.001298060721524,6739,87,115,0,liad_olier_31_!_try1_20250131_162914
31.035,42.43377192755789,5064,81,116,26.115,36.75683609888098,4168,78,112,23.135,31.805581271217164,3697,69,101,23.53,31.987028620989477,3754,63,101,27.82,38.61579987518063,4641,79,113,29.825,41.10675127032055,4748,84,111,40.835,55.315052201005834,6692,89,112,42.75,57.47843073710346,7157,83,113,0,liad_olier_31_!_try1_20250131_162914
32.12,43.74574264999967,5150,72,101,31.375,41.75925047220077,4473,67,101,31.045,38.43741666657633,3809,48,85,30.07,39.07825482285513,4104,52,95,31.21,42.628042413416075,4664,80,105,31.795,43.017031510786516,4651,72,113,41.515,55.43415012426907,6435,71,101,43.315,57.5009999913045,6982,79,101,0,liad_olier_31_!_try1_20250131_162914
