MAV_CH1,RMS_CH1,WL_CH1,ZC_CH1,SSC_CH1,MAV_CH2,RMS_CH2,WL_CH2,ZC_CH2,SSC_CH2,MAV_CH3,RMS_CH3,WL_CH3,ZC_CH3,SSC_CH3,MAV_CH4,RMS_CH4,WL_CH4,ZC_CH4,SSC_CH4,MAV_CH5,RMS_CH5,WL_CH5,ZC_CH5,SSC_CH5,MAV_CH6,RMS_CH6,WL_CH6,ZC_CH6,SSC_CH6,MAV_CH7,RMS_CH7,WL_CH7,ZC_CH7,SSC_CH7,MAV_CH8,RMS_CH8,WL_CH8,ZC_CH8,SSC_CH8,Label,SessionID
3086.435,3520.4609634251024,483718,0.735,175,3080.64,3512.261502223318,482047,0.735,173,3122.155,3559.4005864752003,488369,0.735,173,3083.575,3515.8010075941443,482550,0.735,173,2991.995,3414.943689872499,469655,0.735,173,3061.675,3496.8775564780644,481829,0.735,173,3076.75,3509.3709165604027,482150,0.735,175,3094.55,3529.538243170061,484963,0.735,173,0,new_liad_olier_20250129_134841
837.19,963.163080687793,86686,0.87,191,836.645,962.5685767777795,86270,0.87,191,848.47,976.9711101153401,88256,0.87,191,837.365,963.0451469167995,86067,0.87,191,810.945,932.7841256153537,83338,0.87,191,828.54,953.9529024013711,85944,0.87,191,835.69,960.9079144226048,85688,0.87,191,840.51,966.630441275258,86543,0.87,191,0,new_liad_olier_20250129_134841
432.175,544.7982241160483,29251,0.85,191,424.695,537.8920291285232,27398,0.88,191,427.07,542.5136311651532,26374,0.89,189,420.285,534.1532598421543,24428,0.905,189,408.5,518.8606460312826,25759,0.89,191,417.605,529.5708876061825,24852,0.89,189,421.07,534.5507740149667,27450,0.91,191,438.795,548.6373437891373,28544,0.86,191,0,new_liad_olier_20250129_134841
225.595,277.58223105955466,28843,0.8,188,215.635,254.44538706763777,29401,0.835,188,213.325,241.86149962323478,26378,0.855,188,207.62,232.49578490802796,20820,0.85,188,197.675,229.81319587873975,22958,0.865,194,218.545,249.32600145191435,28168,0.76,186,201.315,230.89102407846002,22193,0.875,190,222.485,270.63322966701634,27932,0.795,190,0,new_liad_olier_20250129_134841
159.215,239.78324587009826,19402,0.405,143,142.885,201.00538549999104,19191,0.36,146,128.78,165.67887614297726,19502,0.305,144,132.61,170.12777551005595,20578,0.34,143,120.62,161.25365112145525,16050,0.44,157,115.715,146.21335438324368,17422,0.45,157,122.46,160.23164481462456,18254,0.415,145,143.395,200.87519757302044,18856,0.405,143,0,new_liad_olier_20250129_134841
66.615,85.74634102980721,10563,0.345,123,76.37,94.0232418075446,10827,0.26,115,89.725,111.37959867049261,12026,0.24,107,96.495,123.78790328622583,13500,0.26,102,137.385,174.36101915279113,16115,0.225,90,99.53,126.5794612091551,12252,0.32,111,63.8,79.08900049943733,10414,0.35,115,61.59,76.07818346937577,9904,0.4,110,0,new_liad_olier_20250129_134841
78.605,101.67770158692612,11205,0.36,114,82.29,104.84431315049949,11188,0.35,113,115.07,154.03720329842398,15247,0.285,103,133.92,175.81700714094754,21221,0.39,102,91.485,119.06126574163405,12414,0.27,113,131.56,168.89564825654924,13401,0.25,96,76.63,96.39813276199908,10800,0.38,122,72.105,90.96738426491113,10410,0.38,123,0,new_liad_olier_20250129_134841
56.49,73.350596452926,9426,0.395,106,61.31,77.64599152564155,9123,0.32,102,73.54,93.5944977015209,10392,0.275,100,84.535,107.6754150212573,13950,0.41,107,59.065,77.81282028046535,9346,0.325,102,53.745,69.38951649925225,8126,0.365,110,60.29,78.03133985777765,10212,0.405,105,59.755,77.16867887945212,9941,0.395,104,0,new_liad_olier_20250129_134841
48.645,59.97478636894007,8068,0.395,115,46.125,57.29114242184389,7136,0.38,105,50.445,63.08030595994284,7522,0.355,97,77.905,101.0450642040471,11953,0.335,105,52.875,63.912557451568155,7939,0.325,112,45.84,58.00172411230549,7674,0.35,113,52.29,65.1144377231348,8755,0.445,119,51.815,63.77675908981264,8383,0.425,116,0,new_liad_olier_20250129_134841
58.035,75.12126862613543,8653,0.36,118,57.085,73.80653765080706,8336,0.275,100,59.905,74.1713219512771,8007,0.305,93,75.97,93.9076141747835,10634,0.34,111,53.07,70.19622496972326,8436,0.385,123,51.44,68.18174242420034,7516,0.36,118,62.48,80.60508668812409,9220,0.34,118,61.745,80.00353117206765,8993,0.35,118,0,new_liad_olier_20250129_134841
48.715,60.29224659937628,8013,0.395,119,46.925,57.43783596202071,6735,0.315,114,50.655,61.94622668088832,6642,0.31,91,66.3,81.95126600608437,9270,0.335,101,46.835,57.20817249309752,7071,0.335,116,43.56,54.6695527693432,6822,0.36,117,53.61,66.2866502396976,8865,0.38,116,52.805,64.8376048292964,8480,0.375,116,0,new_liad_olier_20250129_134841
51.0,64.64162745476014,7819,0.37,111,51.775,63.63713538493071,7495,0.32,94,52.635,64.59446570721055,7165,0.285,98,59.42,73.2868337424943,8846,0.33,94,46.76,60.063050205596454,7210,0.355,109,46.89,60.42929753025431,7250,0.34,103,56.215,70.74613063624045,8317,0.37,107,55.33,70.03349198776253,8118,0.37,106,0,new_liad_olier_20250129_134841
55.495,71.13406357013496,9158,0.355,105,52.985,66.77301101493028,7650,0.275,105,54.4,67.54368956460699,7000,0.27,90,63.22,84.42777978840851,9059,0.305,91,54.225,69.56813207209174,8416,0.395,107,55.375,70.21007762422714,8484,0.33,107,56.875,73.87953031794396,9690,0.415,105,56.525,73.40916155358266,9544,0.39,106,0,new_liad_olier_20250129_134841
56.315,72.80010302190513,9615,0.405,106,55.705,70.81853570923364,8032,0.31,101,56.875,70.98348399451805,7372,0.255,89,68.79,88.92114484193284,8387,0.245,85,58.01,74.55575095188834,8749,0.33,99,60.105,78.36667021125754,8629,0.29,102,61.325,79.50638339152398,10655,0.41,108,60.415,78.33603896036612,10235,0.375,104,0,new_liad_olier_20250129_134841
41.735,53.073675207206065,7153,0.435,107,40.345,50.99318581928374,5855,0.345,108,41.43,51.5613227138327,5770,0.245,93,39.57,50.43114117289039,5715,0.3,99,39.655,50.508860608808035,6128,0.43,109,36.125,46.388198930331406,5400,0.42,111,46.835,58.86412319911,7958,0.42,107,45.93,57.852657674475076,7522,0.42,109,0,new_liad_olier_20250129_134841
50.63,65.25994177135006,8052,0.385,121,49.385,62.64602940330696,7433,0.31,105,51.18,62.233592215137314,6845,0.245,100,48.0,60.1184663809715,7056,0.29,101,48.13,61.56809238558557,7524,0.34,119,44.1,57.6247342727062,6789,0.39,116,55.655,71.57663724987366,8864,0.405,118,55.05,70.50907742978913,8702,0.345,121,0,new_liad_olier_20250129_134841
48.01,60.874050300600175,7471,0.4,108,47.7,59.77440924007531,6823,0.32,103,50.275,62.05300153900696,6909,0.27,70,47.845,59.28806793951039,6683,0.295,91,46.685,58.50047008358138,7026,0.375,107,41.79,53.57443420139871,6403,0.365,110,52.235,66.6818940942742,8130,0.425,111,51.9,66.09735244319548,7877,0.395,110,0,new_liad_olier_20250129_134841
53.37,66.60247743139891,7705,0.36,111,50.6,62.69441761432991,6866,0.32,103,50.88,61.829766294237274,6746,0.235,88,48.725,60.023620350658625,6747,0.295,99,50.41,62.68093809125706,7023,0.375,111,45.935,58.02047052549643,6610,0.345,112,57.9,72.28222464755771,8639,0.375,114,57.9,72.2641681609911,8451,0.35,113,0,new_liad_olier_20250129_134841
57.555,71.21597433160625,8183,0.315,105,54.695,67.2931274351252,7537,0.255,89,53.635,65.61543263592796,6945,0.255,78,52.285,64.19248398371884,6886,0.285,87,53.445,66.43955899913846,7275,0.285,106,49.975,62.374714428204,7088,0.32,105,61.72,76.37912018346375,8741,0.33,108,60.16,74.63303558076677,8585,0.335,105,0,new_liad_olier_20250129_134841
47.675,59.4182211110363,7211,0.385,122,42.795,54.62458237826629,6344,0.34,104,48.145,57.755908788625256,6027,0.27,95,43.0,53.64065622268244,6029,0.305,101,41.05,51.882077830403055,6195,0.435,117,54.235,72.85200752209921,7264,0.33,113,47.475,59.33401216840136,8091,0.42,119,47.095,59.80564354640789,7723,0.42,119,0,new_liad_olier_20250129_134841
49.54,66.20536232058548,8132,0.4,107,49.48,64.9993076886208,7630,0.3,105,54.76,69.88354598902377,7469,0.24,85,51.88,66.47119676972876,7456,0.27,92,50.97,66.89207725882042,7587,0.375,111,51.56,67.3254038235197,7618,0.26,106,58.52,77.55430355563772,9463,0.36,108,57.03,75.69894318945278,9073,0.35,107,0,new_liad_olier_20250129_134841
61.17989417989418,76.95927597587024,16301,0.2962962962962963,200,68.21428571428571,85.11845154636445,15564,0.2804232804232804,168,83.97354497354497,107.98307235554985,15978,0.23544973544973544,141,75.92063492063492,96.84070266743056,16351,0.25925925925925924,162,65.33333333333333,85.63352456310864,16032,0.30423280423280424,198,125.42592592592592,206.21516861568588,21238,0.24603174603174602,176,69.24338624338624,90.82825819519213,18787,0.32275132275132273,207,61.992063492063494,79.67275994496913,17817,0.3148148148148148,195,0,new_liad_olier_20250129_134841
102.19834710743801,148.6460102513228,8755,0.35537190082644626,62,146.900826446281,202.93937131506067,10318,0.24793388429752067,57,276.75206611570246,412.95295191567254,21188,0.2727272727272727,56,297.9586776859504,400.93591953109905,19583,0.18181818181818182,37,330.94214876033055,452.5894094581965,23997,0.21487603305785125,43,346.1322314049587,468.767964945001,19528,0.18181818181818182,48,106.81818181818181,142.73830299010797,8292,0.2892561983471074,62,94.31404958677686,128.8338028637305,8232,0.34710743801652894,62,2,new_liad_olier_20250129_134841
67.81,87.04981332547474,8636,0.32,99,68.675,90.30091361664067,7979,0.285,94,108.7,140.93519787476797,14365,0.245,69,121.34,167.1295904380789,16328,0.25,83,105.445,147.2074216879027,14962,0.27,87,101.865,153.39066138458364,11763,0.23,92,68.95,87.69019329434734,8237,0.32,106,57.045,71.7714079560935,8022,0.335,101,0,new_liad_olier_20250129_134841
42.72,55.01863320730533,6447,0.38,103,42.565,54.64224556147011,6051,0.315,101,62.19,79.25705015959149,7837,0.3,94,51.315,65.98965828067304,7058,0.33,101,70.85,89.84592366935742,9066,0.305,94,58.275,75.28289978474528,7928,0.28,98,45.1,57.20323417430172,7453,0.38,100,44.035,56.16845199932076,7112,0.4,102,0,new_liad_olier_20250129_134841
43.01,54.712338644952844,6982,0.41,105,45.91,57.86778032722527,6967,0.335,94,66.04,82.15357569820074,8620,0.28,86,49.01,61.13051611102265,6474,0.3,84,54.025,67.96738188278256,7575,0.32,102,47.8,59.29865091214133,6679,0.3,104,48.275,59.94384872528623,7834,0.38,109,47.38,59.423227781735314,7844,0.385,104,0,new_liad_olier_20250129_134841
49.935,64.2255011658142,7511,0.345,108,54.4,70.66222470316087,6983,0.205,92,65.565,84.1175070957289,8094,0.255,84,57.965,74.01611311059234,7517,0.25,82,59.25,74.01148559514259,7844,0.275,87,51.005,63.5571789808201,7289,0.31,96,55.015,70.33992465165143,8335,0.365,108,54.72,70.65330848587347,8337,0.365,110,0,new_liad_olier_20250129_134841
44.92836676217765,57.408055303707876,12478,0.40114613180515757,187,44.48137535816619,56.64467239886541,11131,0.3839541547277937,173,59.03151862464183,76.47723784440345,13737,0.28939828080229224,168,45.401146131805156,58.871941059608986,11301,0.34097421203438394,172,50.06590257879656,63.27433787730132,12839,0.3151862464183381,173,47.412607449856736,60.21577723554043,11548,0.335243553008596,189,47.07163323782235,59.501944298973676,13255,0.4154727793696275,185,47.412607449856736,59.94895154071458,12837,0.3954154727793696,185,0,new_liad_olier_20250129_134841
270.6622516556291,359.21159069191685,14813,0.17218543046357615,48,312.20529801324506,421.8836426634954,18776,0.17218543046357615,58,318.72185430463577,419.5628204034536,19857,0.18543046357615894,58,336.2251655629139,423.36141465327063,29260,0.23178807947019867,63,312.5960264900662,432.3428091639337,17959,0.18543046357615894,43,692.9072847682119,867.8495726764529,30670,0.10596026490066225,45,262.3907284768212,374.6622231516725,15836,0.1986754966887417,49,144.57615894039736,184.4470346990472,10774,0.2052980132450331,52,1,new_liad_olier_20250129_134841
60.925,85.25863592622157,7656,0.34,102,58.07,79.72803772826721,8120,0.275,84,67.45,88.89173189897922,8958,0.25,86,80.27,106.86397896391469,12214,0.41,96,64.795,89.47818169811008,7803,0.31,84,70.02,88.77595395150648,8078,0.285,98,60.06,79.87834500038167,8442,0.345,101,56.595,77.69887386571314,8431,0.335,102,0,new_liad_olier_20250129_134841
43.95,56.33515776138379,6005,0.415,100,44.36,55.56743650736463,6120,0.295,90,47.2,59.50428555994938,6226,0.295,92,71.745,97.7639248393803,11175,0.34,104,43.19,55.473146656738336,6223,0.35,95,58.635,73.36494394463884,6996,0.27,89,50.01,64.58366666580646,7288,0.355,102,46.82,60.40695324215582,6488,0.375,105,0,new_liad_olier_20250129_134841
39.53,49.32869347550166,6600,0.385,120,39.455,49.702263529943984,6412,0.32,106,38.865,48.86650181873059,5315,0.24,97,62.625,81.38129391942599,9724,0.335,107,37.945,47.76081029463382,5919,0.335,119,56.915,70.67641049176167,7304,0.245,93,44.465,55.89011540514118,7449,0.36,116,42.91,53.54437412091022,7133,0.37,122,0,new_liad_olier_20250129_134841
42.3,54.966353344568894,6686,0.445,114,43.905,56.152248396658166,6338,0.385,114,45.845,59.78206252714939,6579,0.34,102,62.985,82.66410950345984,9580,0.35,111,57.675,80.69749066730638,9116,0.36,112,61.61,80.24394058120527,7954,0.305,104,44.795,59.60356532960088,7647,0.46,113,43.825,58.44976475572849,7515,0.42,115,0,new_liad_olier_20250129_134841
48.065,61.91861594060384,7052,0.385,109,47.715,61.85276873350133,7046,0.37,103,49.225,63.633206739877565,7191,0.275,91,64.44,81.14240568284872,8999,0.305,95,50.66,68.0076466288902,8118,0.385,108,51.465,66.91199444045888,7749,0.355,103,53.02,67.65944132196186,8390,0.34,109,51.325,66.3062968352177,7892,0.38,107,0,new_liad_olier_20250129_134841
47.41,60.816445144385085,7903,0.39,106,47.98,61.655494483460274,7336,0.34,97,49.2,62.71411324414944,6750,0.285,94,59.39,73.86426740989178,7886,0.295,94,46.075,57.956578573963455,6883,0.31,110,53.68,67.57551331658532,7270,0.36,98,54.105,68.18588563625173,8653,0.38,108,51.615,65.49324392637763,8479,0.35,106,0,new_liad_olier_20250129_134841
