MAV_CH1,RMS_CH1,WL_CH1,ZC_CH1,SSC_CH1,MAV_CH2,RMS_CH2,WL_CH2,ZC_CH2,SSC_CH2,MAV_CH3,RMS_CH3,WL_CH3,ZC_CH3,SSC_CH3,MAV_CH4,RMS_CH4,WL_CH4,ZC_CH4,SSC_CH4,MAV_CH5,RMS_CH5,WL_CH5,ZC_CH5,SSC_CH5,MAV_CH6,RMS_CH6,WL_CH6,ZC_CH6,SSC_CH6,MAV_CH7,RMS_CH7,WL_CH7,ZC_CH7,SSC_CH7,MAV_CH8,RMS_CH8,WL_CH8,ZC_CH8,SSC_CH8,Label,SessionID
206.94331983805668,279.26351956588223,84526,181,330,213.75708502024293,291.4081059451269,76418,151,243,237.3684210526316,332.64658879422956,97088,208,324,202.2753036437247,280.616758555483,81965,208,286,217.72267206477733,302.27249617409757,84736,186,271,256.6578947368421,367.6519790954396,91621,150,244,415.6578947368421,652.2721002101429,127466,152,220,115.9089068825911,150.5307277601487,47467,188,293,5,Roee_Savion_9
104.545,131.18546032240005,16731,75,102,126.305,155.35586567619518,20023,84,102,127.78,158.47734853915244,20751,82,104,128.31,160.89869483622294,20869,77,108,124.14,154.36871444693708,19626,76,101,119.62,147.8717011466359,18802,77,108,119.195,149.41929259637124,20332,77,111,108.295,135.98435571785453,16830,76,104,0,Roee_Savion_9
367.22,697.6689544475947,29066,56,90,294.57,504.00749002370986,27744,57,84,293.82,501.93215677021533,28017,57,102,231.895,353.333305817609,23905,58,84,276.005,479.7393511064107,27998,55,92,252.185,412.6527656517038,26265,60,88,184.27,266.8168285547222,21561,60,90,177.155,254.05069376012338,18565,63,92,0,Roee_Savion_9
106.66,133.36000149970005,17174,71,110,122.305,156.65466798024246,22379,65,115,124.345,156.90473224221122,21565,71,110,121.85,153.6516514717626,21119,71,114,115.76,145.56716662764305,19026,83,111,111.145,140.08310033690717,18549,82,114,118.175,149.76984008804976,20684,76,112,108.98,137.74516325446785,18374,76,110,0,Roee_Savion_9
151.425,192.08405712083447,19155,50,103,140.18,174.3549827220318,22279,58,111,131.09,166.2514661589485,21073,65,105,125.725,158.23594724334924,20199,63,105,138.95,172.14322525153293,19812,63,107,138.975,173.89984186306782,21574,62,105,120.975,148.66490843504394,19199,70,110,130.18,163.83519157983122,19822,57,107,0,Roee_Savion_9
115.965,151.5918698347639,18485,75,120,118.805,149.3136463957665,19874,87,122,116.555,147.51493144763347,20545,82,120,108.165,135.80414205759706,18975,89,115,114.71,145.0335823180273,20464,76,114,110.695,141.52644629185033,19518,86,114,105.47,133.8979088709006,19517,86,117,99.96,127.58146417093668,17196,84,118,0,Roee_Savion_9
137.34,196.3644825318469,17708,72,108,146.8,194.2937466826969,19978,73,108,138.33,182.24318917314852,19307,81,108,126.095,158.57769389166938,19175,81,109,136.185,178.5165678585604,19240,80,108,135.37,175.6795377953847,19207,77,108,113.315,140.33297901776334,17649,84,106,123.345,153.05405907717704,16821,69,100,0,Roee_Savion_9
98.87,122.10241602851272,15952,84,104,115.35,141.79069080867052,18324,88,106,115.65,142.58723645544154,18662,85,109,112.67,137.238223538488,17598,88,108,114.355,140.13059979890187,18230,90,108,109.23,135.06331848433163,17767,87,110,113.445,139.96483486933423,17704,87,108,100.785,123.71748057570522,15841,84,108,0,Roee_Savion_9
98.9,124.08952413479551,16166,77,109,119.51,150.76647505330885,19634,79,108,119.765,151.47493191944335,19707,80,108,115.85,146.66516287107856,19435,79,106,116.885,149.3347749186371,19931,78,108,112.655,143.6344492104871,19375,79,108,114.53,144.3124041792666,18932,74,108,100.795,126.97694672656135,16527,77,107,0,Roee_Savion_9
91.655,112.08298265124817,15089,92,111,110.425,136.02946372018084,19018,92,111,109.735,134.6308842725175,18563,92,109,105.66,130.26522943594733,18298,93,111,106.09,130.75152006764586,18230,98,111,103.06,127.61857231610139,17883,95,111,105.685,130.39457427362535,17942,92,109,94.01,115.67437054075548,15730,91,114,0,Roee_Savion_9
97.585,122.46168788645696,16543,83,114,119.565,148.33254868706328,20026,80,112,119.31,147.12300975714166,19594,79,112,112.425,140.0039463729505,19026,80,112,115.835,143.21611292029957,19198,79,110,112.47,139.3196683889249,18913,77,110,114.17,142.77005988651823,19536,80,110,99.675,124.54370718747695,16709,82,106,0,Roee_Savion_9
90.7,111.50784725749125,15112,82,108,109.655,134.84088771585567,17980,85,106,108.495,134.3576756274088,18269,89,108,104.805,129.2544196536428,17338,94,107,104.38,128.27930464420206,17149,91,106,102.89,125.86596044999617,16793,88,105,105.17,128.90256009870401,17507,83,107,92.64,113.28720139539152,15446,85,107,0,Roee_Savion_9
102.585,127.89532829622824,16137,71,104,117.245,148.4879624750774,19832,69,100,119.13,149.85246077392256,19830,67,101,113.945,143.04570947777498,19033,68,101,114.27,143.68465471302076,18956,72,102,112.605,141.68925506191357,18697,67,98,114.175,145.05245602884497,19284,71,99,99.02,125.49163318723683,17004,70,97,0,Roee_Savion_9
96.925,121.62370245967684,16944,71,102,114.93,143.58081348146766,19914,72,104,114.89,143.68155761961935,19632,72,104,109.22,137.05290949118884,18812,69,106,109.225,137.31939047345062,19245,72,106,107.065,134.1811275850669,18682,71,106,111.655,140.0582914361017,19400,70,104,96.31,120.47369007380823,16951,73,103,0,Roee_Savion_9
99.85,123.66515273107457,15625,89,109,119.125,147.54021485683148,18669,90,108,118.565,147.22450543302904,18711,90,109,114.075,140.510800296632,17697,90,105,114.51,141.022551388067,17768,90,105,112.205,138.3546349060992,17491,91,107,113.775,140.7379302107289,18035,90,106,99.485,122.3271229122961,15587,87,105,0,Roee_Savion_9
105.015,130.5909070341423,16857,81,98,121.745,150.64463150076077,19978,85,102,121.535,150.72420177264166,19899,83,101,118.1,146.34537915492925,19088,83,102,119.56,147.95026191257654,19346,79,100,116.965,144.89663557170678,18962,79,101,118.31,146.12652052245684,19220,81,103,105.94,130.7993119247957,16875,82,98,0,Roee_Savion_9
99.31,121.11721595215107,15440,75,113,116.39,140.48480344862926,17826,75,114,117.255,141.56237141274514,18199,77,110,112.46,136.18751778338572,17539,77,111,113.21,137.58397435748103,17855,77,111,110.31,133.98645453925556,17035,76,109,112.725,136.47840488516854,17173,80,111,99.565,122.23307653822675,15780,76,111,0,Roee_Savion_9
107.725,128.78728586316277,16847,72,107,133.435,157.1129689109082,19887,72,105,132.485,155.73244684393808,19818,73,106,128.33,150.99572841640256,19223,73,107,127.61,150.80401188297344,19262,72,105,124.985,147.5563790556003,18882,73,108,129.525,152.42068429186375,19095,72,107,112.03,132.173181848664,16509,73,106,0,Roee_Savion_9
102.365,124.922315860698,16834,79,106,119.6,147.37642280907758,20142,84,108,119.515,147.8955543618536,20243,83,107,114.47,140.88243325553404,19436,82,108,114.86,141.26372499690075,19441,82,108,111.135,137.0710582143437,18749,84,107,115.655,142.82112938917686,19012,80,106,103.425,127.14135833787525,16407,81,104,0,Roee_Savion_9
95.17,119.45266845072989,16153,83,115,106.19,131.32577812447943,17608,87,117,107.35,132.99060117166175,18003,79,115,101.985,126.79047677171972,17343,85,115,103.495,128.42435516676733,17565,84,115,99.895,123.54203737999467,16841,83,117,100.775,126.41746319239284,17050,85,119,92.14,115.44028759492934,15742,87,116,0,Roee_Savion_9
105.31,133.80209265927047,16970,83,103,120.875,153.25082381507775,20230,90,108,119.005,150.69862308594594,20868,83,108,112.395,142.1061750945398,19648,91,108,114.64,144.30526670915376,19901,85,108,111.19,140.7952058842914,19293,87,109,108.68,137.34179990083135,19470,94,104,112.635,161.62272426858792,18399,84,100,0,Roee_Savion_9
154.755,200.42386334965204,18678,61,102,156.255,200.1730376449336,20565,75,101,151.29,189.9977105125217,20869,77,99,129.32,157.63629023800326,18965,85,103,143.55,177.86463954367096,20018,77,99,135.62,167.06343106736435,19277,79,101,118.71,146.24564950794263,19142,85,107,111.615,137.6928647388818,16624,78,105,0,Roee_Savion_9
106.9,134.4805562153875,15561,79,108,124.71,158.3566228485566,18530,85,105,124.805,158.61382348332697,18826,84,106,120.695,153.0378874658168,18162,84,106,120.055,152.17435723537656,18148,85,103,117.56,148.28422033379007,17304,82,104,120.3,152.370305506027,17764,83,105,105.45,132.44836729835518,15578,82,106,0,Roee_Savion_9
102.785,126.63315126774663,16588,79,106,121.54,149.9090057334782,19996,73,104,121.515,149.7640644480511,19624,76,106,117.945,144.36736126978286,18817,72,104,116.625,143.578915583034,19195,74,105,114.92,140.96244180631945,18181,74,106,116.675,143.77696268874232,18842,75,106,102.605,126.70215073154836,17056,74,103,0,Roee_Savion_9
