MAV_CH1,RMS_CH1,WL_CH1,ZC_CH1,SSC_CH1,MAV_CH2,RMS_CH2,WL_CH2,ZC_CH2,SSC_CH2,MAV_CH3,RMS_CH3,WL_CH3,ZC_CH3,SSC_CH3,MAV_CH4,RMS_CH4,WL_CH4,ZC_CH4,SSC_CH4,MAV_CH5,RMS_CH5,WL_CH5,ZC_CH5,SSC_CH5,MAV_CH6,RMS_CH6,WL_CH6,ZC_CH6,SSC_CH6,MAV_CH7,RMS_CH7,WL_CH7,ZC_CH7,SSC_CH7,MAV_CH8,RMS_CH8,WL_CH8,ZC_CH8,SSC_CH8,Label,SessionID
294.545,376.4177001683104,49871,0.48,151,261.67,335.53201039543154,37300,0.385,107,402.6,509.771262430514,59978,0.51,149,777.425,894.6082746096192,115849,0.685,171,617.055,728.9556810945368,98576,0.685,173,1056.62,1318.544625714276,116660,0.605,151,281.34,373.27023722766864,40993,0.315,98,188.69,234.80161839305964,33923,0.49,152,0,shira_hazrati_1_2_try1_20250201_121051
144.315,178.63452913700644,23856,0.445,117,225.455,276.7846545601833,36672,0.4,97,235.325,289.26402299629314,38866,0.42,107,282.345,345.7156707469304,45612,0.6,161,231.52,289.1333775267048,41618,0.465,149,219.61,263.3319767897549,34455,0.61,163,158.145,192.19462791659916,24219,0.35,93,114.455,141.54711229834396,18787,0.36,100,0,shira_hazrati_1_2_try1_20250201_121051
114.35,141.16465563305852,17816,0.465,120,180.435,222.24573111760776,28851,0.41,116,187.485,228.6846190717688,29362,0.41,116,197.525,240.94645670770925,30515,0.495,142,182.695,226.4417474760341,30950,0.465,139,165.49,205.98689278689554,27118,0.56,143,127.935,161.01383480931074,21302,0.35,113,90.965,114.44634113854406,14700,0.4,119,0,shira_hazrati_1_2_try1_20250201_121051
120.65,148.33512732997536,19378,0.415,109,190.51,239.11097841797226,32571,0.39,109,190.325,240.91084450476697,32740,0.415,109,180.31,226.27131943752835,30374,0.4,115,171.07,213.0864143956625,29834,0.39,123,140.8,174.50174784224942,22472,0.435,117,133.075,166.29270879987493,22033,0.395,110,91.31,113.40961158561474,15451,0.415,113,0,shira_hazrati_1_2_try1_20250201_121051
125.555,155.7681129114685,19700,0.44,115,201.155,246.2011880556225,30569,0.43,111,202.9,242.77534883097172,29128,0.425,111,188.425,224.0527504852373,26260,0.43,109,175.735,213.4170447738418,26406,0.44,111,161.965,207.7813393931226,27487,0.45,107,182.55,249.17923268201946,30114,0.425,106,96.905,119.33094736907103,14976,0.37,110,0,shira_hazrati_1_2_try1_20250201_121051
134.12,164.11142556202478,20231,0.495,115,205.805,249.6883157058015,32848,0.465,111,202.5,242.34147395771942,31449,0.475,113,195.85,234.6180939313931,29941,0.45,114,200.315,241.47009131567413,31516,0.42,112,208.325,258.7697915136154,33847,0.445,112,233.475,298.5633349894123,35666,0.435,107,103.03,126.88877018869715,16433,0.445,111,0,shira_hazrati_1_2_try1_20250201_121051
141.245,173.86803904110727,22193,0.42,107,218.77,268.13174000852644,36053,0.375,109,211.605,257.48851430694924,33116,0.4,110,198.105,241.68151563576393,31504,0.39,102,207.51,261.3497465083906,34914,0.38,116,254.71,343.6693905485328,41615,0.4,110,321.195,435.7568071757457,48243,0.33,104,111.695,139.83080847939056,17999,0.39,101,0,shira_hazrati_1_2_try1_20250201_121051
136.29,168.2341820201828,22961,0.365,106,207.4,263.2682092467679,35937,0.355,106,200.99,253.94497435468182,33607,0.36,103,188.945,235.6689097017254,30524,0.38,102,192.305,243.40828868384907,31919,0.38,102,196.525,255.6679780496572,34069,0.385,111,229.31,303.41723748000874,41866,0.415,112,107.635,132.5013773513317,17896,0.385,106,0,shira_hazrati_1_2_try1_20250201_121051
138.275,171.1729388659317,22962,0.38,111,212.97,263.41493883225377,34921,0.385,117,204.735,254.11085179503846,35079,0.365,113,191.185,238.13392240501983,32283,0.38,117,185.11,230.98961015595484,31090,0.375,113,185.3,238.19414350483095,31390,0.43,119,179.895,235.30540792765473,30408,0.4,122,95.27,120.97450144555256,16802,0.415,116,0,shira_hazrati_1_2_try1_20250201_121051
116.815,148.99652680515743,18916,0.435,109,191.03,242.26099562248976,32480,0.42,110,191.865,244.62396652822062,32500,0.43,109,174.42,222.0653507416229,29618,0.405,111,163.19,211.43055597524213,28643,0.42,113,130.965,167.96045665572598,20952,0.405,116,129.365,168.44074625814267,23184,0.44,114,96.02,120.10224810552049,16056,0.415,109,0,shira_hazrati_1_2_try1_20250201_121051
