MAV_CH1,RMS_CH1,WL_CH1,ZC_CH1,SSC_CH1,MAV_CH2,RMS_CH2,WL_CH2,ZC_CH2,SSC_CH2,MAV_CH3,RMS_CH3,WL_CH3,ZC_CH3,SSC_CH3,MAV_CH4,RMS_CH4,WL_CH4,ZC_CH4,SSC_CH4,MAV_CH5,RMS_CH5,WL_CH5,ZC_CH5,SSC_CH5,MAV_CH6,RMS_CH6,WL_CH6,ZC_CH6,SSC_CH6,MAV_CH7,RMS_CH7,WL_CH7,ZC_CH7,SSC_CH7,MAV_CH8,RMS_CH8,WL_CH8,ZC_CH8,SSC_CH8,Label,SessionID
732.79,920.9632294505574,605.685,0.43,0.83,764.215,999.2951140679114,558.125,0.37,0.67,756.275,1048.8756575495495,455.01,0.23,0.335,556.11,704.8573969250801,318.24,0.265,0.405,535.965,651.5691252660764,294.375,0.24,0.375,1584.035,2152.3772102027096,810.485,0.195,0.225,740.37,957.0478723658498,564.695,0.52,0.815,678.955,864.2891443261335,564.835,0.415,0.745,0,liad_olier_personal_3_20250306_215208
418.76,545.2434777234846,289.435,0.335,0.675,421.29,528.3691701831211,279.58,0.28,0.465,414.99,531.6714398949788,266.97,0.26,0.385,406.795,518.4862148601446,244.21,0.26,0.43,386.85,483.57608501661866,233.34,0.23,0.44,544.5,676.6474044877435,315.035,0.245,0.38,374.27,501.7965723278707,268.19,0.365,0.635,363.645,463.32504249176947,259.365,0.35,0.635,0,liad_olier_personal_3_20250306_215208
169.29,226.14110639156252,141.75,0.425,0.645,187.56,241.77026285298197,142.895,0.395,0.56,202.04,262.7589199247097,152.04,0.375,0.52,212.285,276.8766422073195,151.285,0.35,0.53,212.485,274.680805663592,156.335,0.335,0.55,244.395,301.9114688116369,159.54,0.275,0.525,273.73,425.3895391285498,136.995,0.285,0.62,184.98,257.5504610751066,123.74,0.375,0.56,0,liad_olier_personal_3_20250306_215208
152.67,188.4932359529116,123.435,0.34,0.555,183.535,227.40803635755708,141.57,0.36,0.515,195.925,244.21864179460175,151.72,0.345,0.53,198.34,247.04224335121313,152.35,0.33,0.505,195.57,242.97205600644696,150.685,0.33,0.525,193.05,240.01424957697824,147.14,0.325,0.525,83.75,103.48536128361344,69.495,0.42,0.56,107.915,133.95534703773492,87.325,0.425,0.565,0,liad_olier_personal_3_20250306_215208
146.205,182.22838692146732,116.045,0.38,0.53,178.045,220.90148256632412,136.76,0.41,0.53,194.325,241.4214054304216,150.805,0.4,0.555,203.27,256.4511649417877,154.165,0.4,0.52,250.785,376.89618597168106,180.695,0.41,0.53,231.01,300.324291391822,170.725,0.37,0.54,83.345,106.90900336267288,63.35,0.415,0.535,103.895,132.08003255602264,84.41,0.415,0.54,0,liad_olier_personal_3_20250306_215208
127.345,160.2805821052569,108.41,0.405,0.545,153.25,193.66202518821288,130.025,0.42,0.595,165.42,209.61388312800275,139.695,0.42,0.615,167.08,211.77353470157692,140.795,0.455,0.605,164.21,207.28263313649794,138.6,0.43,0.595,159.53,202.22386110447005,134.825,0.415,0.605,73.34,93.9282705046782,56.7,0.405,0.505,96.395,120.68170946750796,81.36,0.395,0.525,0,liad_olier_personal_3_20250306_215208
130.35,158.91145333172182,103.825,0.425,0.565,157.64,189.1805751127742,120.86,0.4,0.575,170.28,203.77359986023706,131.02,0.39,0.555,170.89,205.44933682054074,132.86,0.41,0.575,169.135,202.78196418813977,129.58,0.4,0.565,166.04,199.97234808842947,128.56,0.415,0.565,80.075,100.0466641123031,65.8,0.41,0.585,105.765,126.99962598370124,81.735,0.39,0.575,0,liad_olier_personal_3_20250306_215208
124.185,157.03510753968362,104.345,0.39,0.58,152.085,190.84036522706614,121.805,0.425,0.55,166.675,208.58663667646593,128.86,0.42,0.56,168.58,210.79120000607236,129.645,0.435,0.57,165.32,207.3126865389574,128.265,0.425,0.57,161.395,202.22548059035486,126.955,0.44,0.59,67.315,83.86921366031757,55.905,0.46,0.59,89.47,110.84863553512962,73.515,0.45,0.6,0,liad_olier_personal_3_20250306_215208
129.39,163.78778953267548,110.76,0.41,0.57,154.495,197.84472446845785,129.67,0.41,0.555,168.545,215.82519547077908,140.025,0.4,0.535,169.69,216.9666564244377,141.335,0.4,0.555,165.17,211.64841128626503,137.83,0.39,0.555,161.84,207.57923788279018,134.53,0.415,0.555,77.98,96.105358851627,60.125,0.425,0.575,95.82,121.45941709064802,82.18,0.44,0.6,0,liad_olier_personal_3_20250306_215208
132.58,164.49218826436714,107.775,0.375,0.535,158.355,196.74616895888977,124.14,0.35,0.555,173.815,216.95800284847758,140.57,0.37,0.575,174.29,216.51034617311018,138.485,0.33,0.565,170.615,213.1228636256561,137.04,0.35,0.575,166.07,206.71949593591796,133.86,0.35,0.575,71.455,88.15233973071844,55.345,0.395,0.555,97.57,121.51650093711554,80.73,0.375,0.55,0,liad_olier_personal_3_20250306_215208
