MAV_CH1,RMS_CH1,WL_CH1,ZC_CH1,SSC_CH1,MAV_CH2,RMS_CH2,WL_CH2,ZC_CH2,SSC_CH2,MAV_CH3,RMS_CH3,WL_CH3,ZC_CH3,SSC_CH3,MAV_CH4,RMS_CH4,WL_CH4,ZC_CH4,SSC_CH4,MAV_CH5,RMS_CH5,WL_CH5,ZC_CH5,SSC_CH5,MAV_CH6,RMS_CH6,WL_CH6,ZC_CH6,SSC_CH6,MAV_CH7,RMS_CH7,WL_CH7,ZC_CH7,SSC_CH7,MAV_CH8,RMS_CH8,WL_CH8,ZC_CH8,SSC_CH8,Label,SessionID
3152.165,3590.475630748662,490347,0.735,0.865,3173.08,3617.7589610144014,495650,0.735,0.865,3132.54,3576.217908629171,491905,0.735,0.865,3156.055,3602.218655911937,495094,0.735,0.865,3124.95,3562.9450921955,488041,0.735,0.865,3143.29,3580.153531624028,489172,0.735,0.865,3188.99,3634.01593970087,497097,0.735,0.865,3205.875,3652.867236158467,499435,0.735,0.865,0,liad_olier_31_!_try1_20250131_162914
852.865,978.0511873107665,83441,0.87,0.945,857.2,984.5071406546526,86853,0.87,0.945,845.025,972.7922979752667,89194,0.86,0.955,851.695,980.3525972832427,89417,0.86,0.955,843.95,969.7473588517785,85777,0.86,0.955,849.745,975.0919879683147,83738,0.87,0.955,862.235,989.091838506415,84452,0.87,0.945,866.795,994.6629554778845,85043,0.86,0.945,0,liad_olier_31_!_try1_20250131_162914
427.345,541.3100728787522,17759,0.94,0.965,428.425,542.8302911592167,17877,0.95,0.965,420.525,533.4558697774353,17981,0.97,0.965,423.805,537.5316409291643,17828,0.98,0.975,421.91,533.9811607163683,16233,0.94,0.965,425.835,538.6154425933219,15167,0.94,0.965,432.165,547.0883155396393,17921,0.95,0.955,434.65,550.7530571862493,18987,0.94,0.96,0,liad_olier_31_!_try1_20250131_162914
203.515,224.85649868304895,15482,0.93,0.985,207.26,231.7766381670077,19940,0.88,0.99,202.565,223.42935125000923,17837,0.88,0.99,210.08,235.8369563914867,22525,0.815,0.99,200.69,223.99975446415115,16184,0.94,0.99,208.175,233.45696605584507,16885,0.93,0.99,267.985,344.3021420206386,27533,0.77,0.955,245.625,293.41401636595344,23890,0.81,0.975,0,liad_olier_31_!_try1_20250131_162914
63.165,75.20169545961049,9187,0.84,0.935,62.495,73.56762195422657,8720,0.83,0.945,61.81,71.73478932847019,8881,0.78,0.925,64.865,76.29295511382423,10272,0.73,0.895,61.625,72.78684633915664,8495,0.84,0.935,61.43,73.42227182538007,8671,0.86,0.945,67.92,84.17291725965069,11315,0.735,0.915,69.01,86.14006036682352,11710,0.72,0.915,0,liad_olier_31_!_try1_20250131_162914
39.485,51.75842926519312,6945,0.49,0.735,35.425,46.939588835012174,6249,0.54,0.735,34.635,45.10260524626044,5529,0.46,0.78,34.915,46.57805277166489,5819,0.43,0.77,36.775,48.63409298013072,6637,0.53,0.735,37.955,49.923090849826195,6689,0.465,0.75,46.94,61.59358732855231,7980,0.465,0.685,48.97,63.581443833873415,8058,0.47,0.665,0,liad_olier_31_!_try1_20250131_162914
32.545,41.98720043060742,5034,0.455,0.585,28.995,37.795171649299334,4622,0.43,0.595,27.23,35.92993181179168,4027,0.33,0.6,28.55,37.06453830819966,3972,0.36,0.6,31.935,40.32052827034884,4747,0.495,0.58,31.14,39.804773583076695,4766,0.46,0.585,41.775,53.32340011664673,6562,0.485,0.575,44.305,56.210274861452156,6861,0.465,0.55,0,liad_olier_31_!_try1_20250131_162914
33.46,41.726130901390796,4957,0.35,0.545,31.815,39.48436399386471,4359,0.37,0.525,31.455,39.381404241088205,4186,0.265,0.425,31.75,39.3270898999659,4237,0.275,0.445,32.45,40.383040994952324,4695,0.36,0.53,31.885,40.61840715734678,4864,0.415,0.58,39.19,49.441480560355394,6217,0.405,0.59,41.105,52.001298060721524,6739,0.435,0.575,0,liad_olier_31_!_try1_20250131_162914
31.035,42.43377192755789,5064,0.405,0.58,26.115,36.75683609888098,4168,0.39,0.56,23.135,31.805581271217164,3697,0.345,0.505,23.53,31.987028620989477,3754,0.315,0.505,27.82,38.61579987518063,4641,0.395,0.565,29.825,41.10675127032055,4748,0.42,0.555,40.835,55.315052201005834,6692,0.445,0.56,42.75,57.47843073710346,7157,0.415,0.565,0,liad_olier_31_!_try1_20250131_162914
32.12,43.74574264999967,5150,0.36,0.505,31.375,41.75925047220077,4473,0.335,0.505,31.045,38.43741666657633,3809,0.24,0.425,30.07,39.07825482285513,4104,0.26,0.475,31.21,42.628042413416075,4664,0.4,0.525,31.795,43.017031510786516,4651,0.36,0.565,41.515,55.43415012426907,6435,0.355,0.505,43.315,57.5009999913045,6982,0.395,0.505,0,liad_olier_31_!_try1_20250131_162914
