MAV_CH1,RMS_CH1,WL_CH1,ZC_CH1,SSC_CH1,MAV_CH2,RMS_CH2,WL_CH2,ZC_CH2,SSC_CH2,MAV_CH3,RMS_CH3,WL_CH3,ZC_CH3,SSC_CH3,MAV_CH4,RMS_CH4,WL_CH4,ZC_CH4,SSC_CH4,MAV_CH5,RMS_CH5,WL_CH5,ZC_CH5,SSC_CH5,MAV_CH6,RMS_CH6,WL_CH6,ZC_CH6,SSC_CH6,MAV_CH7,RMS_CH7,WL_CH7,ZC_CH7,SSC_CH7,MAV_CH8,RMS_CH8,WL_CH8,ZC_CH8,SSC_CH8,Label,SessionID
732.79,920.9632294505574,121137,0.43,0.83,764.215,999.2951140679114,111625,0.37,0.67,756.275,1048.8756575495495,91002,0.23,0.335,556.11,704.8573969250801,63648,0.265,0.405,535.965,651.5691252660764,58875,0.24,0.375,1584.035,2152.3772102027096,162097,0.195,0.225,740.37,957.0478723658498,112939,0.52,0.815,678.955,864.2891443261335,112967,0.415,0.745,0,liad_olier_personal_3_20250306_215208
418.76,545.2434777234846,57887,0.335,0.675,421.29,528.3691701831211,55916,0.28,0.465,414.99,531.6714398949788,53394,0.26,0.385,406.795,518.4862148601446,48842,0.26,0.43,386.85,483.57608501661866,46668,0.23,0.44,544.5,676.6474044877435,63007,0.245,0.38,374.27,501.7965723278707,53638,0.365,0.635,363.645,463.32504249176947,51873,0.35,0.635,0,liad_olier_personal_3_20250306_215208
169.29,226.14110639156252,28350,0.425,0.645,187.56,241.77026285298197,28579,0.395,0.56,202.04,262.7589199247097,30408,0.375,0.52,212.285,276.8766422073195,30257,0.35,0.53,212.485,274.680805663592,31267,0.335,0.55,244.395,301.9114688116369,31908,0.275,0.525,273.73,425.3895391285498,27399,0.285,0.62,184.98,257.5504610751066,24748,0.375,0.56,0,liad_olier_personal_3_20250306_215208
152.67,188.4932359529116,24687,0.34,0.555,183.535,227.40803635755708,28314,0.36,0.515,195.925,244.21864179460175,30344,0.345,0.53,198.34,247.04224335121313,30470,0.33,0.505,195.57,242.97205600644696,30137,0.33,0.525,193.05,240.01424957697824,29428,0.325,0.525,83.75,103.48536128361344,13899,0.42,0.56,107.915,133.95534703773492,17465,0.425,0.565,0,liad_olier_personal_3_20250306_215208
146.205,182.22838692146732,23209,0.38,0.53,178.045,220.90148256632412,27352,0.41,0.53,194.325,241.4214054304216,30161,0.4,0.555,203.27,256.4511649417877,30833,0.4,0.52,250.785,376.89618597168106,36139,0.41,0.53,231.01,300.324291391822,34145,0.37,0.54,83.345,106.90900336267288,12670,0.415,0.535,103.895,132.08003255602264,16882,0.415,0.54,0,liad_olier_personal_3_20250306_215208
127.345,160.2805821052569,21682,0.405,0.545,153.25,193.66202518821288,26005,0.42,0.595,165.42,209.61388312800275,27939,0.42,0.615,167.08,211.77353470157692,28159,0.455,0.605,164.21,207.28263313649794,27720,0.43,0.595,159.53,202.22386110447005,26965,0.415,0.605,73.34,93.9282705046782,11340,0.405,0.505,96.395,120.68170946750796,16272,0.395,0.525,0,liad_olier_personal_3_20250306_215208
130.35,158.91145333172182,20765,0.425,0.565,157.64,189.1805751127742,24172,0.4,0.575,170.28,203.77359986023706,26204,0.39,0.555,170.89,205.44933682054074,26572,0.41,0.575,169.135,202.78196418813977,25916,0.4,0.565,166.04,199.97234808842947,25712,0.415,0.565,80.075,100.0466641123031,13160,0.41,0.585,105.765,126.99962598370124,16347,0.39,0.575,0,liad_olier_personal_3_20250306_215208
124.185,157.03510753968362,20869,0.39,0.58,152.085,190.84036522706614,24361,0.425,0.55,166.675,208.58663667646593,25772,0.42,0.56,168.58,210.79120000607236,25929,0.435,0.57,165.32,207.3126865389574,25653,0.425,0.57,161.395,202.22548059035486,25391,0.44,0.59,67.315,83.86921366031757,11181,0.46,0.59,89.47,110.84863553512962,14703,0.45,0.6,0,liad_olier_personal_3_20250306_215208
129.39,163.78778953267548,22152,0.41,0.57,154.495,197.84472446845785,25934,0.41,0.555,168.545,215.82519547077908,28005,0.4,0.535,169.69,216.9666564244377,28267,0.4,0.555,165.17,211.64841128626503,27566,0.39,0.555,161.84,207.57923788279018,26906,0.415,0.555,77.98,96.105358851627,12025,0.425,0.575,95.82,121.45941709064802,16436,0.44,0.6,0,liad_olier_personal_3_20250306_215208
132.58,164.49218826436714,21555,0.375,0.535,158.355,196.74616895888977,24828,0.35,0.555,173.815,216.95800284847758,28114,0.37,0.575,174.29,216.51034617311018,27697,0.33,0.565,170.615,213.1228636256561,27408,0.35,0.575,166.07,206.71949593591796,26772,0.35,0.575,71.455,88.15233973071844,11069,0.395,0.555,97.57,121.51650093711554,16146,0.375,0.55,0,liad_olier_personal_3_20250306_215208
130.0,159.7415412471033,20029,0.43,0.545,155.44,193.06094892546238,26198,0.41,0.57,169.215,212.52909212623103,29451,0.405,0.565,170.32,213.5221065838383,29438,0.405,0.565,167.78,209.69132075505652,28756,0.395,0.565,162.955,203.85209098755894,27906,0.4,0.555,74.485,94.2080410580753,12623,0.435,0.52,95.735,118.3633600401746,15523,0.44,0.515,0,liad_olier_personal_3_20250306_215208
139.96,175.47435710097358,21577,0.385,0.525,170.76,214.75083236159995,27540,0.405,0.535,188.575,234.60845040194098,29991,0.38,0.545,188.805,235.77496686459315,30452,0.4,0.545,184.4,230.53544196066684,29508,0.4,0.525,179.04,224.62787004287782,29004,0.42,0.545,100.035,131.962172610184,15421,0.325,0.55,101.865,127.78965138069671,16328,0.435,0.565,0,liad_olier_personal_3_20250306_215208
