MAV_CH1,RMS_CH1,WL_CH1,ZC_CH1,SSC_CH1,MAV_CH2,RMS_CH2,WL_CH2,ZC_CH2,SSC_CH2,MAV_CH3,RMS_CH3,WL_CH3,ZC_CH3,SSC_CH3,MAV_CH4,RMS_CH4,WL_CH4,ZC_CH4,SSC_CH4,MAV_CH5,RMS_CH5,WL_CH5,ZC_CH5,SSC_CH5,MAV_CH6,RMS_CH6,WL_CH6,ZC_CH6,SSC_CH6,MAV_CH7,RMS_CH7,WL_CH7,ZC_CH7,SSC_CH7,MAV_CH8,RMS_CH8,WL_CH8,ZC_CH8,SSC_CH8,Label,SessionID
3086.435,3520.4609634251024,2418.59,0.735,0.875,3080.64,3512.261502223318,2410.235,0.735,0.865,3122.155,3559.4005864752003,2441.845,0.735,0.865,3083.575,3515.8010075941443,2412.75,0.735,0.865,2991.995,3414.943689872499,2348.275,0.735,0.865,3061.675,3496.8775564780644,2409.145,0.735,0.865,3076.75,3509.3709165604027,2410.75,0.735,0.875,3094.55,3529.538243170061,2424.815,0.735,0.865,0,new_liad_olier_20250129_134841
837.19,963.163080687793,433.43,0.87,0.955,836.645,962.5685767777795,431.35,0.87,0.955,848.47,976.9711101153401,441.28,0.87,0.955,837.365,963.0451469167995,430.335,0.87,0.955,810.945,932.7841256153537,416.69,0.87,0.955,828.54,953.9529024013711,429.72,0.87,0.955,835.69,960.9079144226048,428.44,0.87,0.955,840.51,966.630441275258,432.715,0.87,0.955,0,new_liad_olier_20250129_134841
432.175,544.7982241160483,146.255,0.85,0.955,424.695,537.8920291285232,136.99,0.88,0.955,427.07,542.5136311651532,131.87,0.89,0.945,420.285,534.1532598421543,122.14,0.905,0.945,408.5,518.8606460312826,128.795,0.89,0.955,417.605,529.5708876061825,124.26,0.89,0.945,421.07,534.5507740149667,137.25,0.91,0.955,438.795,548.6373437891373,142.72,0.86,0.955,0,new_liad_olier_20250129_134841
225.595,277.58223105955466,144.215,0.8,0.94,215.635,254.44538706763777,147.005,0.835,0.94,213.325,241.86149962323478,131.89,0.855,0.94,207.62,232.49578490802796,104.1,0.85,0.94,197.675,229.81319587873975,114.79,0.865,0.97,218.545,249.32600145191435,140.84,0.76,0.93,201.315,230.89102407846002,110.965,0.875,0.95,222.485,270.63322966701634,139.66,0.795,0.95,0,new_liad_olier_20250129_134841
159.215,239.78324587009826,97.01,0.405,0.715,142.885,201.00538549999104,95.955,0.36,0.73,128.78,165.67887614297726,97.51,0.305,0.72,132.61,170.12777551005595,102.89,0.34,0.715,120.62,161.25365112145525,80.25,0.44,0.785,115.715,146.21335438324368,87.11,0.45,0.785,122.46,160.23164481462456,91.27,0.415,0.725,143.395,200.87519757302044,94.28,0.405,0.715,0,new_liad_olier_20250129_134841
66.615,85.74634102980721,52.815,0.345,0.615,76.37,94.0232418075446,54.135,0.26,0.575,89.725,111.37959867049261,60.13,0.24,0.535,96.495,123.78790328622583,67.5,0.26,0.51,137.385,174.36101915279113,80.575,0.225,0.45,99.53,126.5794612091551,61.26,0.32,0.555,63.8,79.08900049943733,52.07,0.35,0.575,61.59,76.07818346937577,49.52,0.4,0.55,0,new_liad_olier_20250129_134841
78.605,101.67770158692612,56.025,0.36,0.57,82.29,104.84431315049949,55.94,0.35,0.565,115.07,154.03720329842398,76.235,0.285,0.515,133.92,175.81700714094754,106.105,0.39,0.51,91.485,119.06126574163405,62.07,0.27,0.565,131.56,168.89564825654924,67.005,0.25,0.48,76.63,96.39813276199908,54.0,0.38,0.61,72.105,90.96738426491113,52.05,0.38,0.615,0,new_liad_olier_20250129_134841
56.49,73.350596452926,47.13,0.395,0.53,61.31,77.64599152564155,45.615,0.32,0.51,73.54,93.5944977015209,51.96,0.275,0.5,84.535,107.6754150212573,69.75,0.41,0.535,59.065,77.81282028046535,46.73,0.325,0.51,53.745,69.38951649925225,40.63,0.365,0.55,60.29,78.03133985777765,51.06,0.405,0.525,59.755,77.16867887945212,49.705,0.395,0.52,0,new_liad_olier_20250129_134841
48.645,59.97478636894007,40.34,0.395,0.575,46.125,57.29114242184389,35.68,0.38,0.525,50.445,63.08030595994284,37.61,0.355,0.485,77.905,101.0450642040471,59.765,0.335,0.525,52.875,63.912557451568155,39.695,0.325,0.56,45.84,58.00172411230549,38.37,0.35,0.565,52.29,65.1144377231348,43.775,0.445,0.595,51.815,63.77675908981264,41.915,0.425,0.58,0,new_liad_olier_20250129_134841
58.035,75.12126862613543,43.265,0.36,0.59,57.085,73.80653765080706,41.68,0.275,0.5,59.905,74.1713219512771,40.035,0.305,0.465,75.97,93.9076141747835,53.17,0.34,0.555,53.07,70.19622496972326,42.18,0.385,0.615,51.44,68.18174242420034,37.58,0.36,0.59,62.48,80.60508668812409,46.1,0.34,0.59,61.745,80.00353117206765,44.965,0.35,0.59,0,new_liad_olier_20250129_134841
48.715,60.29224659937628,40.065,0.395,0.595,46.925,57.43783596202071,33.675,0.315,0.57,50.655,61.94622668088832,33.21,0.31,0.455,66.3,81.95126600608437,46.35,0.335,0.505,46.835,57.20817249309752,35.355,0.335,0.58,43.56,54.6695527693432,34.11,0.36,0.585,53.61,66.2866502396976,44.325,0.38,0.58,52.805,64.8376048292964,42.4,0.375,0.58,0,new_liad_olier_20250129_134841
51.0,64.64162745476014,39.095,0.37,0.555,51.775,63.63713538493071,37.475,0.32,0.47,52.635,64.59446570721055,35.825,0.285,0.49,59.42,73.2868337424943,44.23,0.33,0.47,46.76,60.063050205596454,36.05,0.355,0.545,46.89,60.42929753025431,36.25,0.34,0.515,56.215,70.74613063624045,41.585,0.37,0.535,55.33,70.03349198776253,40.59,0.37,0.53,0,new_liad_olier_20250129_134841
