N,EMG_0,EMG_1,EMG_2,EMG_3,EMG_4,EMG_5,EMG_6,EMG_7,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,VBAT
1,182815.0,112063.0,-59346.0,205601.0,310663.0,594642.0,211248.0,294489.0,-322.0,277.0,16739.0,-389.0,-116.0,-140.0,3649.0
2,182338.0,112510.0,-59057.0,205723.0,311173.0,594643.0,211258.0,294358.0,-322.0,277.0,16739.0,-389.0,-116.0,-140.0,3649.0
3,181573.0,112387.0,-58774.0,205684.0,311364.0,594736.0,211711.0,295074.0,-322.0,277.0,16739.0,-389.0,-116.0,-140.0,3649.0
4,181823.0,112778.0,-58429.0,205150.0,310547.0,594134.0,211730.0,295348.0,-322.0,277.0,16739.0,-389.0,-116.0,-140.0,3649.0
5,182952.0,113125.0,-58468.0,206721.0,310961.0,593730.0,211322.0,295794.0,-322.0,277.0,16739.0,-389.0,-116.0,-140.0,3649.0
6,182937.0,113533.0,-58406.0,206954.0,310988.0,593916.0,211057.0,296128.0,-322.0,277.0,16739.0,-389.0,-116.0,-140.0,3649.0
7,182100.0,113495.0,-58510.0,206591.0,311224.0,594466.0,211155.0,295091.0,-322.0,277.0,16739.0,-389.0,-116.0,-140.0,3649.0
8,182411.0,113717.0,-58413.0,206924.0,311131.0,594274.0,211199.0,294146.0,-322.0,277.0,16739.0,-389.0,-116.0,-140.0,3649.0
9,183314.0,113202.0,-59132.0,206293.0,310709.0,593860.0,211122.0,294203.0,-322.0,277.0,16739.0,-389.0,-116.0,-140.0,3649.0
10,183652.0,113217.0,-59147.0,206674.0,311145.0,594118.0,211105.0,294263.0,-322.0,277.0,16739.0,-389.0,-116.0,-140.0,3649.0
11,182459.0,112879.0,-59325.0,206793.0,311848.0,594448.0,210906.0,294424.0,-232.0,447.0,16764.0,-313.0,-96.0,144.0,3649.0
12,180334.0,112308.0,-59429.0,206049.0,311174.0,594531.0,211382.0,294883.0,-232.0,447.0,16764.0,-313.0,-96.0,144.0,3649.0
13,181466.0,112771.0,-59122.0,206229.0,310833.0,594410.0,211571.0,294979.0,-232.0,447.0,16764.0,-313.0,-96.0,144.0,3649.0
14,182375.0,113509.0,-59029.0,206304.0,310644.0,593928.0,210841.0,294624.0,-232.0,447.0,16764.0,-313.0,-96.0,144.0,3649.0
15,181343.0,113594.0,-58854.0,206489.0,310888.0,594093.0,210806.0,294105.0,-232.0,447.0,16764.0,-313.0,-96.0,144.0,3649.0
16,181138.0,113706.0,-58392.0,207128.0,311449.0,594581.0,211125.0,294246.0,-232.0,447.0,16764.0,-313.0,-96.0,144.0,3649.0
17,181868.0,113388.0,-58871.0,206611.0,310905.0,593984.0,211114.0,295370.0,-232.0,447.0,16764.0,-313.0,-96.0,144.0,3649.0
18,182420.0,113679.0,-58814.0,206643.0,310996.0,594144.0,211408.0,296258.0,-232.0,447.0,16764.0,-313.0,-96.0,144.0,3649.0
19,182076.0,113824.0,-58623.0,206877.0,311361.0,594603.0,211434.0,295626.0,-232.0,447.0,16764.0,-313.0,-96.0,144.0,3649.0
